Alpha,T1-10.0 m/s-VLM2, , Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.2 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-21.5 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.3 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-29.3 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-5.2 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, ,            -1,     0.5913149, , 
         -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, ,          -0.8,     0.6042924, , 
         -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, ,          -0.6,     0.6172554, , 
         -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, ,          -0.4,     0.6302037, , 
         -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, ,          -0.2,     0.6431368, , 
            0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, ,             0,     0.6560544, , 
          0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, ,           0.2,     0.6689561, , 
          0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, ,           0.4,     0.6818414, , 
          0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, ,           0.6,     0.6947101, , 
          0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, ,           0.8,     0.7075616, , 
