Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      7.771272, ,            -1,      7.665282, ,            -1,      8.418734, ,            -1,      8.079898, , 
         -0.8,      7.722349, ,          -0.8,      7.613802, ,          -0.8,      8.383316, ,          -0.8,      8.040115, , 
         -0.6,      7.677565, ,          -0.6,      7.564834, ,          -0.6,      8.352356, ,          -0.6,      8.004864, , 
         -0.4,      7.636965, ,          -0.4,      7.518295, ,          -0.4,      8.325625, ,          -0.4,      7.973944, , 
         -0.2,      7.600353, ,          -0.2,      7.474616, ,          -0.2,      8.302912, ,          -0.2,      7.947171, , 
            0,      7.567623, ,             0,      7.433695, ,             0,      8.284038, ,             0,      7.924391, , 
          0.2,       7.53874, ,           0.2,      7.395353, ,           0.2,      8.268772, ,           0.2,      7.905383, , 
          0.4,      7.513834, ,           0.4,      7.359674, ,           0.4,      8.256976, ,           0.4,      7.890017, , 
          0.6,      7.492843, ,           0.6,      7.327292, ,           0.6,      8.248472, ,           0.6,      7.878107, , 
          0.8,      7.475766, ,           0.8,      7.299556, ,           0.8,      8.243111, ,           0.8,      7.869528, , 
            1,      7.462517, ,             1,       7.27764, ,             1,      8.240696, ,             1,      7.864052, , 
          1.2,      7.453067, ,           1.2,      7.261427, ,           1.2,      8.241118, ,           1.2,      7.861554, , 
          1.4,      7.447244, ,           1.4,      7.250987, ,           1.4,      8.244184, ,           1.4,      7.861849, , 
          1.6,      7.444906, ,           1.6,      7.245384, ,           1.6,      8.249769, ,           1.6,      7.864834, , 
          1.8,      7.445774, ,           1.8,      7.243907, ,           1.8,      8.257738, ,           1.8,      7.870333, , 
            2,      7.449643, ,             2,      7.246173, ,             2,      8.268016, ,             2,      7.878227, , 
          2.2,      7.456311, ,           2.2,      7.251216, ,           2.2,       8.28049, ,           2.2,       7.88837, , 
          2.4,      7.465579, ,           2.4,       7.25939, ,           2.4,      8.295065, ,           2.4,      7.900626, , 
          2.6,      7.477184, ,           2.6,      7.269747, ,           2.6,      8.311663, ,           2.6,      7.914877, , 
          2.8,      7.490877, ,           2.8,      7.282858, ,           2.8,      8.330197, ,           2.8,      7.931006, , 
            3,      7.506499, ,             3,      7.298153, ,             3,      8.350607, ,             3,      7.948915, , 
          3.2,      7.523926, ,           3.2,      7.315241, ,           3.2,      8.372809, ,           3.2,      7.968514, , 
          3.4,      7.543103, ,           3.4,      7.333844, ,           3.4,      8.396736, ,           3.4,      7.989735, , 
          3.6,      7.563942, ,           3.6,      7.354058, ,           3.6,      8.422346, ,           3.6,      8.012528, , 
          3.8,      7.586291, ,           3.8,      7.375783, ,           3.8,      8.449531, ,           3.8,      8.036786, , 
            4,       7.61005, ,             4,      7.399162, ,             4,      8.478283, ,             4,      8.062442, , 
          4.2,       7.63512, ,           4.2,      7.423658, ,           4.2,      8.508587, ,           4.2,      8.089442, , 
          4.4,      7.661415, ,           4.4,      7.449622, ,           4.4,      8.540377, ,           4.4,      8.117733, , 
          4.6,       7.68885, ,           4.6,      7.477003, ,           4.6,      8.573594, ,           4.6,      8.147304, , 
          4.8,      7.717364, ,           4.8,      7.505489, ,           4.8,      8.608231, ,           4.8,      8.178079, , 
            5,      7.746943, ,             5,      7.535041, ,             5,      8.644307, ,             5,      8.210008, , 
          5.2,      7.777545, ,           5.2,      7.565707, ,           5.2,      8.681758, ,           5.2,      8.243048, , 
          5.4,      7.809098, ,           5.4,      7.597583, ,           5.4,       8.72051, ,           5.4,       8.27716, , 
          5.6,       7.84157, ,           5.6,      7.630261, ,           5.6,      8.760534, ,           5.6,      8.312315, , 
          5.8,      7.874925, ,           5.8,      7.664504, ,           5.8,      8.801833, ,           5.8,      8.348493, , 
            6,      7.909162, ,             6,      7.699862, ,             6,      8.844378, ,             6,      8.385635, , 
          6.2,      7.944301, ,           6.2,      7.736176, ,           6.2,       8.88823, ,           6.2,      8.423723, , 
          6.4,      7.980295, ,           6.4,      7.773705, ,           6.4,      8.933397, ,           6.4,       8.46274, , 
          6.6,      8.017064, ,           6.6,      7.812204, ,           6.6,      8.979875, ,           6.6,      8.502646, , 
          6.8,      8.054609, ,           6.8,      7.851583, ,           6.8,      9.027679, ,           6.8,      8.543434, , 
            7,      8.092932, ,             7,      7.891721, ,             7,      9.076866, ,             7,      8.585117, , 
          7.2,      8.132008, ,           7.2,      7.932652, ,           7.2,      9.127472, ,           7.2,        8.6277, , 
          7.4,      8.171823, ,           7.4,       7.97435, ,           7.4,      9.179533, ,           7.4,      8.671153, , 
          7.6,      8.212404, ,           7.6,      8.016789, ,           7.6,      9.233169, ,           7.6,      8.715501, , 
          7.8,       8.25373, ,           7.8,      8.059967, ,           7.8,      9.288457, ,           7.8,       8.76076, , 
            8,      8.295752, ,             8,      8.103956, ,             8,      9.345504, ,             8,      8.806893, , 
          8.2,      8.338454, ,           8.2,      8.148674, ,           8.2,      9.404389, ,           8.2,      8.853904, , 
          8.4,      8.381829, ,           8.4,      8.193716, ,           8.4,      9.465268, ,           8.4,       8.90173, , 
          8.6,      8.425828, ,           8.6,      8.239492, ,           8.6,      9.528228, ,           8.6,      8.950347, , 
          8.8,      8.470444, ,           8.8,      8.285863, ,           8.8,      9.593558, ,           8.8,      8.999761, , 
            9,      8.515662, ,             9,      8.332744, ,             9,      9.661632, ,             9,      9.050018, , 
          9.2,      8.561461, ,           9.2,      8.380121, ,           9.2,      9.732955, ,           9.2,      9.101131, , 
          9.4,      8.607803, ,           9.4,      8.427874, ,           9.4,      9.808027, ,           9.4,      9.153102, , 

