Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,     0.7280697, ,            -1,     0.7280697, ,            -1,     0.7280697, ,            -1,     0.7280697, ,            -1,     0.7280697, ,            -1,     0.7280697, ,            -1,     0.7280697, ,            -1,     0.7280697, ,            -1,     0.7280697, ,            -1,     0.7280697, ,            -1,     0.7280697, , 
         -0.8,     0.7381654, ,          -0.8,     0.7381654, ,          -0.8,     0.7381654, ,          -0.8,     0.7381654, ,          -0.8,     0.7381654, ,          -0.8,     0.7381654, ,          -0.8,     0.7381654, ,          -0.8,     0.7381654, ,          -0.8,     0.7381654, ,          -0.8,     0.7381654, ,          -0.8,     0.7381654, , 
         -0.6,      0.748241, ,          -0.6,      0.748241, ,          -0.6,      0.748241, ,          -0.6,      0.748241, ,          -0.6,      0.748241, ,          -0.6,      0.748241, ,          -0.6,      0.748241, ,          -0.6,      0.748241, ,          -0.6,      0.748241, ,          -0.6,      0.748241, ,          -0.6,      0.748241, , 
         -0.4,     0.7582959, ,          -0.4,     0.7582959, ,          -0.4,     0.7582959, ,          -0.4,     0.7582959, ,          -0.4,     0.7582959, ,          -0.4,     0.7582959, ,          -0.4,     0.7582959, ,          -0.4,     0.7582959, ,          -0.4,     0.7582959, ,          -0.4,     0.7582959, ,          -0.4,     0.7582959, , 
         -0.2,     0.7683301, ,          -0.2,     0.7683301, ,          -0.2,     0.7683301, ,          -0.2,     0.7683301, ,          -0.2,     0.7683301, ,          -0.2,     0.7683301, ,          -0.2,     0.7683301, ,          -0.2,     0.7683301, ,          -0.2,     0.7683301, ,          -0.2,     0.7683301, ,          -0.2,     0.7683301, , 
            0,      0.778343, ,             0,      0.778343, ,             0,      0.778343, ,             0,      0.778343, ,             0,      0.778343, ,             0,      0.778343, ,             0,      0.778343, ,             0,      0.778343, ,             0,      0.778343, ,             0,      0.778343, ,             0,      0.778343, , 
          0.2,     0.7883343, ,           0.2,     0.7883343, ,           0.2,     0.7883343, ,           0.2,     0.7883343, ,           0.2,     0.7883343, ,           0.2,     0.7883343, ,           0.2,     0.7883343, ,           0.2,     0.7883343, ,           0.2,     0.7883343, ,           0.2,     0.7883343, ,           0.2,     0.7883343, , 
          0.4,     0.7983037, ,           0.4,     0.7983037, ,           0.4,     0.7983037, ,           0.4,     0.7983037, ,           0.4,     0.7983037, ,           0.4,     0.7983037, ,           0.4,     0.7983037, ,           0.4,     0.7983037, ,           0.4,     0.7983037, ,           0.4,     0.7983037, ,           0.4,     0.7983037, , 
          0.6,     0.8082509, ,           0.6,     0.8082509, ,           0.6,     0.8082509, ,           0.6,     0.8082509, ,           0.6,     0.8082509, ,           0.6,     0.8082509, ,           0.6,     0.8082509, ,           0.6,     0.8082509, ,           0.6,     0.8082509, ,           0.6,     0.8082509, ,           0.6,     0.8082509, , 
          0.8,     0.8181755, ,           0.8,     0.8181755, ,           0.8,     0.8181755, ,           0.8,     0.8181755, ,           0.8,     0.8181755, ,           0.8,     0.8181755, ,           0.8,     0.8181755, ,           0.8,     0.8181755, ,           0.8,     0.8181755, ,           0.8,     0.8181755, ,           0.8,     0.8181755, , 
            1,     0.8280772, ,             1,     0.8280772, ,             1,     0.8280772, ,             1,     0.8280772, ,             1,     0.8280772, ,             1,     0.8280772, ,             1,     0.8280772, ,             1,     0.8280772, ,             1,     0.8280772, ,             1,     0.8280772, ,             1,     0.8280772, , 
          1.2,     0.8379556, ,           1.2,     0.8379556, ,           1.2,     0.8379556, ,           1.2,     0.8379556, ,           1.2,     0.8379556, ,           1.2,     0.8379556, ,           1.2,     0.8379556, ,           1.2,     0.8379556, ,           1.2,     0.8379556, ,           1.2,     0.8379556, ,           1.2,     0.8379556, , 
          1.4,     0.8478104, ,           1.4,     0.8478104, ,           1.4,     0.8478104, ,           1.4,     0.8478104, ,           1.4,     0.8478104, ,           1.4,     0.8478104, ,           1.4,     0.8478104, ,           1.4,     0.8478104, ,           1.4,     0.8478104, ,           1.4,     0.8478104, ,           1.4,     0.8478104, , 
