Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      7.014597, ,            -1,      7.111887, ,            -1,      6.686635, , 
         -0.8,      7.035024, ,          -0.8,      7.134144, ,          -0.8,       6.69907, , 
         -0.6,      7.052923, ,          -0.6,       7.15381, ,          -0.6,      6.709009, , 
         -0.4,      7.068371, ,          -0.4,      7.170976, ,          -0.4,      6.716539, , 
         -0.2,      7.081438, ,          -0.2,      7.185793, ,          -0.2,       6.72176, , 
            0,      7.092185, ,             0,      7.198178, ,             0,      6.724712, , 
          0.2,      7.100694, ,           0.2,      7.208422, ,           0.2,      6.725484, , 
          0.4,      7.107005, ,           0.4,      7.216691, ,           0.4,      6.724144, , 
          0.6,      7.111124, ,           0.6,      7.223019, ,           0.6,      6.720784, , 
          0.8,      7.113122, ,           0.8,      7.227553, ,           0.8,      6.715459, , 
            1,      7.113078, ,             1,      7.230151, ,             1,      6.708251, , 
          1.2,       7.11102, ,           1.2,      7.230891, ,           1.2,      6.699221, , 
          1.4,      7.107022, ,           1.4,      7.229874, ,           1.4,      6.688474, , 
          1.6,      7.101096, ,           1.6,      7.227099, ,           1.6,      6.676067, , 
          1.8,      7.093281, ,           1.8,      7.222504, ,           1.8,      6.662078, , 
            2,       7.08365, ,             2,      7.215965, ,             2,      6.646597, , 
          2.2,      7.072263, ,           2.2,      7.207397, ,           2.2,      6.629691, , 
          2.4,      7.059186, ,           2.4,      7.196849, ,           2.4,      6.611436, , 
          2.6,      7.044473, ,           2.6,      7.184292, ,           2.6,      6.591898, , 
          2.8,       7.02823, ,           2.8,        7.1698, ,           2.8,      6.571154, , 
            3,       7.01053, ,             3,      7.153451, ,             3,      6.549277, , 
          3.2,      6.991462, ,           3.2,      7.135397, ,           3.2,      6.526356, , 
          3.4,      6.971127, ,           3.4,      7.115742, ,           3.4,      6.502449, , 
          3.6,      6.949604, ,           3.6,       7.09466, ,           3.6,      6.477603, , 
          3.8,      6.927004, ,           3.8,      7.072338, ,           3.8,      6.451881, , 
            4,      6.903392, ,             4,       7.04886, ,             4,      6.425311, , 
          4.2,      6.878868, ,           4.2,      7.024354, ,           4.2,      6.397937, , 
          4.4,      6.853501, ,           4.4,      6.998938, ,           4.4,      6.369762, , 
          4.6,      6.827379, ,           4.6,      6.972726, ,           4.6,       6.34085, , 
          4.8,      6.800591, ,           4.8,      6.945807, ,           4.8,      6.311259, , 
            5,      6.773189, ,             5,      6.918237, ,             5,      6.280987, , 
          5.2,       6.74523, ,           5.2,      6.890114, ,           5.2,      6.250045, , 
          5.4,      6.716736, ,           5.4,       6.86148, ,           5.4,      6.218452, , 
          5.6,      6.687769, ,           5.6,      6.832399, ,           5.6,      6.186259, , 
          5.8,      6.658364, ,           5.8,      6.802927, ,           5.8,      6.153458, , 
            6,      6.628582, ,             6,      6.773113, ,             6,      6.120064, , 
          6.2,      6.598452, ,           6.2,      6.742974, ,           6.2,      6.086077, , 
          6.4,      6.568022, ,           6.4,      6.712594, ,           6.4,      6.051471, , 
          6.6,      6.537333, ,           6.6,      6.682005, ,           6.6,      6.016225, , 
          6.8,      6.506407, ,           6.8,      6.651222, ,           6.8,       5.98035, , 
            7,      6.475263, ,             7,      6.620263, ,             7,      5.943782, , 
          7.2,      6.443929, ,           7.2,      6.589163, ,           7.2,      5.906459, , 
          7.4,      6.412428, ,           7.4,      6.557919, ,           7.4,      5.868413, , 
          7.6,      6.380787, ,           7.6,      6.526575, ,           7.6,      5.829537, , 
          7.8,      6.349031, ,           7.8,      6.495087, ,           7.8,      5.789678, , 
            8,      6.317202, ,             8,      6.463456, ,             8,       5.74867, , 
          8.2,      6.285307, ,           8.2,      6.431678, ,           8.2,      5.706343, , 
          8.4,      6.253365, ,           8.4,      6.399791, ,           8.4,      5.662408, , 
          8.6,      6.221359, ,           8.6,      6.367803, ,           8.6,      5.616584, , 
          8.8,      6.189309, ,           8.8,      6.335724, ,           8.8,      5.568356, , 
            9,       6.15721, ,             9,      6.303589, ,             9,      5.517248, , 
          9.2,      6.125086, ,           9.2,      6.271392, ,           9.2,      5.462469, , 
          9.4,      6.092932, ,           9.4,      6.239153, ,           9.4,      5.403097, , 
          9.6,      6.060765, ,           9.6,      6.206899, ,           9.6,      5.337576, , 
          9.8,      6.028543, ,           9.8,      6.174616, ,           9.8,        5.2642, , 
           10,      5.996268, ,            10,      6.142324, ,            10,      5.181634, , 
         10.2,      5.963941, ,          10.2,      6.110021, ,          10.2,      5.090747, , 
         10.4,      5.931543, ,          10.4,      6.077707, ,          10.4,      4.993706, , 
         10.6,      5.899089, ,          10.6,      6.045402, ,          10.6,      4.892521, , 
         10.8,      5.866541, ,          10.8,      6.013093, ,          10.8,      4.791697, , 
           11,      5.833874, ,            11,      5.980779, ,            11,      4.687113, , 
         11.2,      5.801051, ,          11.2,      5.948457, ,          11.2,      4.531124, , 
         11.4,      5.768019, ,          11.4,      5.916129, ,          11.4,      4.350495, , 
         11.6,      5.734766, ,          11.6,      5.883776, ,          11.6,      4.222808, , 
         11.8,      5.701241, ,          11.8,      5.851406, ,          11.8,      4.097954, , 
           12,      5.667399, ,            12,      5.819014, , , , , 

