Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -5,      7.442809, ,            -5,      7.724146, ,            -5,      4.960764, ,            -5,      7.837803, ,            -5,      7.880794, ,            -5,      7.888012, ,            -5,      7.922388, ,            -5,      7.936476, ,            -5,      7.943088, ,            -5,       5.45517, ,            -5,      6.522463, ,            -5,       7.06246, ,            -5,      7.125634, , 
         -4.8,        7.5135, ,          -4.8,      7.805458, ,          -4.8,      4.997697, ,          -4.8,      7.923301, ,          -4.8,      7.968054, ,          -4.8,      7.976029, ,          -4.8,      8.012066, ,          -4.8,      8.025757, ,          -4.8,      8.032072, ,          -4.8,      5.495714, ,          -4.8,      6.571301, ,          -4.8,      7.123763, ,          -4.8,      7.188417, , 
         -4.6,      7.579946, ,          -4.6,      7.882082, ,          -4.6,      5.031729, ,          -4.6,      8.003712, ,          -4.6,      8.049475, ,          -4.6,      8.057996, ,          -4.6,      8.094814, ,          -4.6,      8.107823, ,          -4.6,       8.11433, ,          -4.6,      5.533006, ,          -4.6,      6.616115, ,          -4.6,      7.181042, ,          -4.6,      7.247148, , 
         -4.4,      7.642279, ,          -4.4,      7.954499, ,          -4.4,      5.062994, ,          -4.4,      8.079981, ,          -4.4,      8.127139, ,          -4.4,      8.135738, ,          -4.4,      8.171916, ,          -4.4,      8.184104, ,          -4.4,      8.190652, ,          -4.4,      5.567156, ,          -4.4,      6.656948, ,          -4.4,      7.234383, ,          -4.4,      7.301916, , 
         -4.2,      7.700561, ,          -4.2,      8.022809, ,          -4.2,      5.091538, ,          -4.2,      8.152238, ,          -4.2,      8.201278, ,          -4.2,      8.209494, ,          -4.2,      8.244135, ,          -4.2,      8.255855, ,          -4.2,      8.262407, ,          -4.2,      5.598204, ,          -4.2,      6.693822, ,          -4.2,      7.283841, ,          -4.2,      7.352778, , 
           -4,      7.754831, ,            -4,      8.086179, ,            -4,      5.117275, ,            -4,      8.219089, ,            -4,       8.26922, ,            -4,      8.277459, ,            -4,      8.312955, ,            -4,      8.325436, ,            -4,      8.332252, ,            -4,      5.626083, ,            -4,      6.726727, ,            -4,      7.329416, ,            -4,       7.39974, , 
         -3.8,      7.805243, ,          -3.8,      8.145103, ,          -3.8,      5.140245, ,          -3.8,      8.281307, ,          -3.8,      8.332208, ,          -3.8,      8.340534, ,          -3.8,      8.377196, ,          -3.8,      8.390566, ,          -3.8,      8.397644, ,          -3.8,      5.650857, ,          -3.8,       6.75579, ,          -3.8,      7.371216, ,          -3.8,      7.442916, , 
         -3.6,      7.851817, ,          -3.6,      8.199284, ,          -3.6,      5.160542, ,          -3.6,      8.339284, ,          -3.6,       8.39046, ,          -3.6,      8.398832, ,          -3.6,      8.437041, ,          -3.6,      8.451778, ,          -3.6,      8.459216, ,          -3.6,        5.6726, ,          -3.6,      6.781022, ,          -3.6,      7.409229, ,          -3.6,        7.4823, , 
         -3.4,      7.894692, ,          -3.4,      8.249375, ,          -3.4,      5.178171, ,          -3.4,      8.393131, ,          -3.4,      8.444305, ,          -3.4,      8.452572, ,          -3.4,      8.491591, ,          -3.4,      8.507383, ,          -3.4,      8.515091, ,          -3.4,      5.691334, ,          -3.4,      6.802492, ,          -3.4,      7.443534, ,          -3.4,       7.51798, , 
         -3.2,      7.933921, ,          -3.2,      8.295403, ,          -3.2,      5.193118, ,          -3.2,      8.442972, ,          -3.2,      8.493836, ,          -3.2,      8.501813, ,          -3.2,      8.541445, ,          -3.2,      8.558585, ,          -3.2,      8.566684, ,          -3.2,      5.707049, ,          -3.2,      6.820197, ,          -3.2,      7.474118, ,          -3.2,      7.549952, , 
           -3,      7.969546, ,            -3,      8.337496, ,            -3,      5.205348, ,            -3,      8.488608, ,            -3,      8.540934, ,            -3,      8.549265, ,            -3,      8.589467, ,            -3,      8.606228, ,            -3,      8.614389, ,            -3,      5.719731, ,            -3,      6.834187, ,            -3,      7.500985, ,            -3,      7.578227, , 
         -2.8,      8.001659, ,          -2.8,      8.375888, ,          -2.8,      5.215021, ,          -2.8,      8.530326, ,          -2.8,      8.584602, ,          -2.8,      8.593467, ,          -2.8,      8.634201, ,          -2.8,      8.650071, ,          -2.8,      8.657855, ,          -2.8,      5.729511, ,          -2.8,      6.844492, ,          -2.8,      7.524111, ,          -2.8,      7.602798, , 
