Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.5964873, ,            -1,     0.5964873, ,            -1,     0.5964873, ,            -1,     0.5964873, ,            -1,     0.5964873, ,            -1,     0.5964873, ,            -1,     0.5964873, ,            -1,     0.5964873, ,            -1,     0.5964873, , 
         -0.8,     0.5965967, ,          -0.8,     0.5965967, ,          -0.8,     0.5965967, ,          -0.8,     0.5965967, ,          -0.8,     0.5965967, ,          -0.8,     0.5965967, ,          -0.8,     0.5965967, ,          -0.8,     0.5965967, ,          -0.8,     0.5965967, , 
         -0.6,     0.5966748, ,          -0.6,     0.5966748, ,          -0.6,     0.5966748, ,          -0.6,     0.5966748, ,          -0.6,     0.5966748, ,          -0.6,     0.5966748, ,          -0.6,     0.5966748, ,          -0.6,     0.5966748, ,          -0.6,     0.5966748, , 
         -0.4,     0.5967274, ,          -0.4,     0.5967274, ,          -0.4,     0.5967274, ,          -0.4,     0.5967274, ,          -0.4,     0.5967274, ,          -0.4,     0.5967274, ,          -0.4,     0.5967274, ,          -0.4,     0.5967274, ,          -0.4,     0.5967274, , 
         -0.2,     0.5967591, ,          -0.2,     0.5967591, ,          -0.2,     0.5967591, ,          -0.2,     0.5967591, ,          -0.2,     0.5967591, ,          -0.2,     0.5967591, ,          -0.2,     0.5967591, ,          -0.2,     0.5967591, ,          -0.2,     0.5967591, , 
            0,     0.5967732, ,             0,     0.5967732, ,             0,     0.5967732, ,             0,     0.5967732, ,             0,     0.5967732, ,             0,     0.5967732, ,             0,     0.5967732, ,             0,     0.5967732, ,             0,     0.5967732, , 
          0.2,     0.5967724, ,           0.2,     0.5967724, ,           0.2,     0.5967724, ,           0.2,     0.5967724, ,           0.2,     0.5967724, ,           0.2,     0.5967724, ,           0.2,     0.5967724, ,           0.2,     0.5967724, ,           0.2,     0.5967724, , 
          0.4,     0.5967587, ,           0.4,     0.5967587, ,           0.4,     0.5967587, ,           0.4,     0.5967587, ,           0.4,     0.5967587, ,           0.4,     0.5967587, ,           0.4,     0.5967587, ,           0.4,     0.5967587, ,           0.4,     0.5967587, , 
          0.6,      0.596734, ,           0.6,      0.596734, ,           0.6,      0.596734, ,           0.6,      0.596734, ,           0.6,      0.596734, ,           0.6,      0.596734, ,           0.6,      0.596734, ,           0.6,      0.596734, ,           0.6,      0.596734, , 
          0.8,     0.5966996, ,           0.8,     0.5966996, ,           0.8,     0.5966996, ,           0.8,     0.5966996, ,           0.8,     0.5966996, ,           0.8,     0.5966996, ,           0.8,     0.5966996, ,           0.8,     0.5966996, ,           0.8,     0.5966996, , 
            1,     0.5966565, ,             1,     0.5966565, ,             1,     0.5966565, ,             1,     0.5966565, ,             1,     0.5966565, ,             1,     0.5966565, ,             1,     0.5966565, ,             1,     0.5966565, ,             1,     0.5966565, , 
          1.2,     0.5966058, ,           1.2,     0.5966058, ,           1.2,     0.5966058, ,           1.2,     0.5966058, ,           1.2,     0.5966058, ,           1.2,     0.5966058, ,           1.2,     0.5966058, ,           1.2,     0.5966058, ,           1.2,     0.5966058, , 
          1.4,     0.5965481, ,           1.4,     0.5965481, ,           1.4,     0.5965481, ,           1.4,     0.5965481, ,           1.4,     0.5965481, ,           1.4,     0.5965481, ,           1.4,     0.5965481, ,           1.4,     0.5965481, ,           1.4,     0.5965481, , 
          1.6,     0.5964841, ,           1.6,     0.5964841, ,           1.6,     0.5964841, ,           1.6,     0.5964841, ,           1.6,     0.5964841, ,           1.6,     0.5964841, ,           1.6,     0.5964841, ,           1.6,     0.5964841, ,           1.6,     0.5964841, , 
          1.8,     0.5964144, ,           1.8,     0.5964144, ,           1.8,     0.5964144, ,           1.8,     0.5964144, ,           1.8,     0.5964144, ,           1.8,     0.5964144, ,           1.8,     0.5964144, ,           1.8,     0.5964144, ,           1.8,     0.5964144, , 
            2,     0.5963393, ,             2,     0.5963393, ,             2,     0.5963393, ,             2,     0.5963393, ,             2,     0.5963393, ,             2,     0.5963393, ,             2,     0.5963393, ,             2,     0.5963393, ,             2,     0.5963393, , 
          2.2,     0.5962594, ,           2.2,     0.5962594, ,           2.2,     0.5962594, ,           2.2,     0.5962594, ,           2.2,     0.5962594, ,           2.2,     0.5962594, ,           2.2,     0.5962594, ,           2.2,     0.5962594, ,           2.2,     0.5962594, , 
          2.4,     0.5961748, ,           2.4,     0.5961748, ,           2.4,     0.5961748, ,           2.4,     0.5961748, ,           2.4,     0.5961748, ,           2.4,     0.5961748, ,           2.4,     0.5961748, ,           2.4,     0.5961748, ,           2.4,     0.5961748, , 
          2.6,     0.5960861, ,           2.6,     0.5960861, ,           2.6,     0.5960861, ,           2.6,     0.5960861, ,           2.6,     0.5960861, ,           2.6,     0.5960861, ,           2.6,     0.5960861, ,           2.6,     0.5960861, ,           2.6,     0.5960861, , 
          2.8,     0.5959932, ,           2.8,     0.5959932, ,           2.8,     0.5959932, ,           2.8,     0.5959932, ,           2.8,     0.5959932, ,           2.8,     0.5959932, ,           2.8,     0.5959932, ,           2.8,     0.5959932, ,           2.8,     0.5959932, , 
            3,     0.5958966, ,             3,     0.5958966, ,             3,     0.5958966, ,             3,     0.5958966, ,             3,     0.5958966, ,             3,     0.5958966, ,             3,     0.5958966, ,             3,     0.5958966, ,             3,     0.5958966, , 
          3.2,     0.5957964, ,           3.2,     0.5957964, ,           3.2,     0.5957964, ,           3.2,     0.5957964, ,           3.2,     0.5957964, ,           3.2,     0.5957964, ,           3.2,     0.5957964, ,           3.2,     0.5957964, ,           3.2,     0.5957964, , 
          3.4,     0.5956928, ,           3.4,     0.5956928, ,           3.4,     0.5956928, ,           3.4,     0.5956928, ,           3.4,     0.5956928, ,           3.4,     0.5956928, ,           3.4,     0.5956928, ,           3.4,     0.5956928, ,           3.4,     0.5956928, , 
          3.6,     0.5955858, ,           3.6,     0.5955858, ,           3.6,     0.5955858, ,           3.6,     0.5955858, ,           3.6,     0.5955858, ,           3.6,     0.5955858, ,           3.6,     0.5955858, ,           3.6,     0.5955858, ,           3.6,     0.5955858, , 
          3.8,     0.5954758, ,           3.8,     0.5954758, ,           3.8,     0.5954758, ,           3.8,     0.5954758, ,           3.8,     0.5954758, ,           3.8,     0.5954758, ,           3.8,     0.5954758, ,           3.8,     0.5954758, ,           3.8,     0.5954758, , 
            4,     0.5953627, ,             4,     0.5953627, ,             4,     0.5953627, ,             4,     0.5953627, ,             4,     0.5953627, ,             4,     0.5953627, ,             4,     0.5953627, ,             4,     0.5953627, ,             4,     0.5953627, , 
          4.2,     0.5952467, ,           4.2,     0.5952467, ,           4.2,     0.5952467, ,           4.2,     0.5952467, ,           4.2,     0.5952467, ,           4.2,     0.5952467, ,           4.2,     0.5952467, ,           4.2,     0.5952467, ,           4.2,     0.5952467, , 
          4.4,     0.5951279, ,           4.4,     0.5951279, ,           4.4,     0.5951279, ,           4.4,     0.5951279, ,           4.4,     0.5951279, ,           4.4,     0.5951279, ,           4.4,     0.5951279, ,           4.4,     0.5951279, ,           4.4,     0.5951279, , 
          4.6,     0.5950064, ,           4.6,     0.5950064, ,           4.6,     0.5950064, ,           4.6,     0.5950064, ,           4.6,     0.5950064, ,           4.6,     0.5950064, ,           4.6,     0.5950064, ,           4.6,     0.5950064, ,           4.6,     0.5950064, , 
          4.8,     0.5948823, ,           4.8,     0.5948823, ,           4.8,     0.5948823, ,           4.8,     0.5948823, ,           4.8,     0.5948823, ,           4.8,     0.5948823, ,           4.8,     0.5948823, ,           4.8,     0.5948823, ,           4.8,     0.5948823, , 
            5,     0.5947556, ,             5,     0.5947556, ,             5,     0.5947556, ,             5,     0.5947556, ,             5,     0.5947556, ,             5,     0.5947556, ,             5,     0.5947556, ,             5,     0.5947556, ,             5,     0.5947556, , 
          5.2,     0.5946264, ,           5.2,     0.5946264, ,           5.2,     0.5946264, ,           5.2,     0.5946264, ,           5.2,     0.5946264, ,           5.2,     0.5946264, ,           5.2,     0.5946264, ,           5.2,     0.5946264, ,           5.2,     0.5946264, , 
          5.4,     0.5944949, ,           5.4,     0.5944949, ,           5.4,     0.5944949, ,           5.4,     0.5944949, ,           5.4,     0.5944949, ,           5.4,     0.5944949, ,           5.4,     0.5944949, ,           5.4,     0.5944949, ,           5.4,     0.5944949, , 
          5.6,      0.594361, ,           5.6,      0.594361, ,           5.6,      0.594361, ,           5.6,      0.594361, ,           5.6,      0.594361, ,           5.6,      0.594361, ,           5.6,      0.594361, ,           5.6,      0.594361, ,           5.6,      0.594361, , 
          5.8,     0.5942248, ,           5.8,     0.5942248, ,           5.8,     0.5942248, ,           5.8,     0.5942248, ,           5.8,     0.5942248, ,           5.8,     0.5942248, ,           5.8,     0.5942248, ,           5.8,     0.5942248, ,           5.8,     0.5942248, , 
            6,     0.5940863, ,             6,     0.5940863, ,             6,     0.5940863, ,             6,     0.5940863, ,             6,     0.5940863, ,             6,     0.5940863, ,             6,     0.5940863, ,             6,     0.5940863, ,             6,     0.5940863, , 
          6.2,     0.5939457, ,           6.2,     0.5939457, ,           6.2,     0.5939457, ,           6.2,     0.5939457, ,           6.2,     0.5939457, ,           6.2,     0.5939457, ,           6.2,     0.5939457, ,           6.2,     0.5939457, ,           6.2,     0.5939457, , 
          6.4,      0.593803, ,           6.4,      0.593803, ,           6.4,      0.593803, ,           6.4,      0.593803, ,           6.4,      0.593803, ,           6.4,      0.593803, ,           6.4,      0.593803, ,           6.4,      0.593803, ,           6.4,      0.593803, , 
          6.6,     0.5936581, ,           6.6,     0.5936581, ,           6.6,     0.5936581, ,           6.6,     0.5936581, ,           6.6,     0.5936581, ,           6.6,     0.5936581, ,           6.6,     0.5936581, ,           6.6,     0.5936581, ,           6.6,     0.5936581, , 
          6.8,     0.5935112, ,           6.8,     0.5935112, ,           6.8,     0.5935112, ,           6.8,     0.5935112, ,           6.8,     0.5935112, ,           6.8,     0.5935112, ,           6.8,     0.5935112, ,           6.8,     0.5935112, ,           6.8,     0.5935112, , 
            7,     0.5933624, ,             7,     0.5933624, ,             7,     0.5933624, ,             7,     0.5933624, ,             7,     0.5933624, ,             7,     0.5933624, ,             7,     0.5933624, ,             7,     0.5933624, ,             7,     0.5933624, , 
          7.2,     0.5932115, ,           7.2,     0.5932115, ,           7.2,     0.5932115, ,           7.2,     0.5932115, ,           7.2,     0.5932115, ,           7.2,     0.5932115, ,           7.2,     0.5932115, ,           7.2,     0.5932115, ,           7.2,     0.5932115, , 
          7.4,     0.5930588, ,           7.4,     0.5930588, ,           7.4,     0.5930588, ,           7.4,     0.5930588, ,           7.4,     0.5930588, ,           7.4,     0.5930588, ,           7.4,     0.5930588, ,           7.4,     0.5930588, ,           7.4,     0.5930588, , 
          7.6,     0.5929041, ,           7.6,     0.5929041, ,           7.6,     0.5929041, ,           7.6,     0.5929041, ,           7.6,     0.5929041, ,           7.6,     0.5929041, ,           7.6,     0.5929041, ,           7.6,     0.5929041, ,           7.6,     0.5929041, , 
          7.8,     0.5927477, ,           7.8,     0.5927477, ,           7.8,     0.5927477, ,           7.8,     0.5927477, ,           7.8,     0.5927477, ,           7.8,     0.5927477, ,           7.8,     0.5927477, ,           7.8,     0.5927477, ,           7.8,     0.5927477, , 
            8,     0.5925894, ,             8,     0.5925894, ,             8,     0.5925894, ,             8,     0.5925894, ,             8,     0.5925894, ,             8,     0.5925894, ,             8,     0.5925894, ,             8,     0.5925894, ,             8,     0.5925894, , 
          8.2,     0.5924293, ,           8.2,     0.5924293, ,           8.2,     0.5924293, ,           8.2,     0.5924293, ,           8.2,     0.5924293, ,           8.2,     0.5924293, , , , ,           8.2,     0.5924293, ,           8.2,     0.5924293, , 
          8.4,     0.5922676, ,           8.4,     0.5922676, ,           8.4,     0.5922676, ,           8.4,     0.5922676, ,           8.4,     0.5922676, ,           8.4,     0.5922676, , , , ,           8.4,     0.5922676, ,           8.4,     0.5922676, , 
          8.6,     0.5921041, ,           8.6,     0.5921041, ,           8.6,     0.5921041, ,           8.6,     0.5921041, ,           8.6,     0.5921041, ,           8.6,     0.5921041, , , , , , , ,           8.6,     0.5921041, , 
          8.8,     0.5919389, ,           8.8,     0.5919389, ,           8.8,     0.5919389, ,           8.8,     0.5919389, ,           8.8,     0.5919389, ,           8.8,     0.5919389, , , , , , , , , , , 
            9,     0.5917721, ,             9,     0.5917721, ,             9,     0.5917721, ,             9,     0.5917721, ,             9,     0.5917721, ,             9,     0.5917721, , , , , , , , , , , 
          9.2,     0.5916038, ,           9.2,     0.5916038, ,           9.2,     0.5916038, , , , , , , , , , , , , , , , , , , , 

