Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, ,            -1,     0.6342385, , 
         -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, ,          -0.8,     0.6344155, , 
         -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, ,          -0.6,     0.6345645, , 
         -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, ,          -0.4,     0.6346893, , 
         -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, ,          -0.2,     0.6347931, , 
            0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, ,             0,     0.6348785, , 
          0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, ,           0.2,     0.6349477, , 
          0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, ,           0.4,     0.6350025, , 
          0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, ,           0.6,     0.6350447, , 
          0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, ,           0.8,     0.6350757, , 
