Alpha,T1-15.8 m/s-VLM2, , 
           -1,       15.3834, , 
         -0.8,      15.66793, , 
         -0.6,      15.91599, , 
         -0.4,       16.1297, , 
         -0.2,      16.31137, , 
            0,       16.4639, , 
          0.2,      16.58964, , 
          0.4,      16.68977, , 
          0.6,      16.76678, , 
          0.8,      16.82259, , 
            1,      16.85859, , 
          1.2,      16.87628, , 
          1.4,      16.87707, , 
          1.6,      16.86224, , 
          1.8,       16.8332, , 
            2,      16.79117, , 
          2.2,      16.73734, , 
          2.4,      16.67258, , 
          2.6,      16.59736, , 
          2.8,      16.51239, , 
            3,      16.41804, , 
          3.2,       16.3144, , 
          3.4,      16.20038, , 
          3.6,       16.0723, , 
          3.8,      15.92178, , 
            4,       15.7395, , 
          4.2,      15.51693, , 
          4.4,      15.25235, , 
          4.6,       14.9599, , 
          4.8,      14.65517, , 
            5,      14.34088, , 
          5.2,      14.01153, , 
          5.4,      13.65638, , 
          5.6,      13.26993, , 
          5.8,      12.89198, , 

