Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, ,            -1,     0.6564338, , 
         -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, ,          -0.8,     0.6567094, , 
         -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, ,          -0.6,     0.6569511, , 
         -0.4,     0.6571636, ,          -0.4,     0.6571636, ,          -0.4,     0.6571636, ,          -0.4,     0.6571636, ,          -0.4,     0.6571636, ,          -0.4,     0.6571636, ,          -0.4,     0.6571636, ,          -0.4,     0.6571636, ,          -0.4,     0.6571636, ,          -0.4,     0.6571636, , 
         -0.2,     0.6573507, ,          -0.2,     0.6573507, ,          -0.2,     0.6573507, ,          -0.2,     0.6573507, ,          -0.2,     0.6573507, ,          -0.2,     0.6573507, ,          -0.2,     0.6573507, ,          -0.2,     0.6573507, ,          -0.2,     0.6573507, ,          -0.2,     0.6573507, , 
            0,     0.6575159, ,             0,     0.6575159, ,             0,     0.6575159, ,             0,     0.6575159, ,             0,     0.6575159, ,             0,     0.6575159, ,             0,     0.6575159, ,             0,     0.6575159, ,             0,     0.6575159, ,             0,     0.6575159, , 
          0.2,     0.6576618, ,           0.2,     0.6576618, ,           0.2,     0.6576618, ,           0.2,     0.6576618, ,           0.2,     0.6576618, ,           0.2,     0.6576618, ,           0.2,     0.6576618, ,           0.2,     0.6576618, ,           0.2,     0.6576618, ,           0.2,     0.6576618, , 
          0.4,     0.6577909, ,           0.4,     0.6577909, ,           0.4,     0.6577909, ,           0.4,     0.6577909, ,           0.4,     0.6577909, ,           0.4,     0.6577909, ,           0.4,     0.6577909, ,           0.4,     0.6577909, ,           0.4,     0.6577909, ,           0.4,     0.6577909, , 
          0.6,     0.6579051, ,           0.6,     0.6579051, ,           0.6,     0.6579051, ,           0.6,     0.6579051, ,           0.6,     0.6579051, ,           0.6,     0.6579051, ,           0.6,     0.6579051, ,           0.6,     0.6579051, ,           0.6,     0.6579051, ,           0.6,     0.6579051, , 
          0.8,     0.6580063, ,           0.8,     0.6580063, ,           0.8,     0.6580063, ,           0.8,     0.6580063, ,           0.8,     0.6580063, ,           0.8,     0.6580063, ,           0.8,     0.6580063, ,           0.8,     0.6580063, ,           0.8,     0.6580063, ,           0.8,     0.6580063, , 
