Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.3530001, ,            -1,     0.3530001, ,            -1,     0.3530001, ,            -1,     0.3530001, ,            -1,     0.3530001, , 
         -0.8,     0.3684864, ,          -0.8,     0.3684864, ,          -0.8,     0.3684864, ,          -0.8,     0.3684864, ,          -0.8,     0.3684864, , 
         -0.6,     0.3839651, ,          -0.6,     0.3839651, ,          -0.6,     0.3839651, ,          -0.6,     0.3839651, ,          -0.6,     0.3839651, , 
         -0.4,     0.3994359, ,          -0.4,     0.3994359, ,          -0.4,     0.3994359, ,          -0.4,     0.3994359, ,          -0.4,     0.3994359, , 
         -0.2,     0.4148983, ,          -0.2,     0.4148983, ,          -0.2,     0.4148983, ,          -0.2,     0.4148983, ,          -0.2,     0.4148983, , 
            0,      0.430352, ,             0,      0.430352, ,             0,      0.430352, ,             0,      0.430352, ,             0,      0.430352, , 
          0.2,     0.4457966, ,           0.2,     0.4457966, ,           0.2,     0.4457966, ,           0.2,     0.4457966, ,           0.2,     0.4457966, , 
          0.4,     0.4612316, ,           0.4,     0.4612316, ,           0.4,     0.4612316, ,           0.4,     0.4612316, ,           0.4,     0.4612316, , 
          0.6,     0.4766567, ,           0.6,     0.4766567, ,           0.6,     0.4766567, ,           0.6,     0.4766567, ,           0.6,     0.4766567, , 
          0.8,     0.4920716, ,           0.8,     0.4920716, ,           0.8,     0.4920716, ,           0.8,     0.4920716, ,           0.8,     0.4920716, , 
            1,     0.5074757, ,             1,     0.5074757, ,             1,     0.5074757, ,             1,     0.5074757, ,             1,     0.5074757, , 
          1.2,     0.5228687, ,           1.2,     0.5228687, ,           1.2,     0.5228687, ,           1.2,     0.5228687, ,           1.2,     0.5228687, , 
          1.4,     0.5382502, ,           1.4,     0.5382502, ,           1.4,     0.5382502, ,           1.4,     0.5382502, ,           1.4,     0.5382502, , 
          1.6,     0.5536198, ,           1.6,     0.5536198, ,           1.6,     0.5536198, ,           1.6,     0.5536198, ,           1.6,     0.5536198, , 
          1.8,     0.5689772, ,           1.8,     0.5689772, ,           1.8,     0.5689772, ,           1.8,     0.5689772, ,           1.8,     0.5689772, , 
            2,     0.5843219, ,             2,     0.5843219, ,             2,     0.5843219, ,             2,     0.5843219, ,             2,     0.5843219, , 
          2.2,     0.5996535, ,           2.2,     0.5996535, ,           2.2,     0.5996535, ,           2.2,     0.5996535, ,           2.2,     0.5996535, , 
          2.4,     0.6149717, ,           2.4,     0.6149717, ,           2.4,     0.6149717, ,           2.4,     0.6149717, ,           2.4,     0.6149717, , 
          2.6,     0.6302761, ,           2.6,     0.6302761, ,           2.6,     0.6302761, ,           2.6,     0.6302761, ,           2.6,     0.6302761, , 
          2.8,     0.6455663, ,           2.8,     0.6455663, ,           2.8,     0.6455663, ,           2.8,     0.6455663, ,           2.8,     0.6455663, , 
            3,     0.6608419, ,             3,     0.6608419, ,             3,     0.6608419, ,             3,     0.6608419, ,             3,     0.6608419, , 
          3.2,     0.6761025, ,           3.2,     0.6761025, ,           3.2,     0.6761025, ,           3.2,     0.6761025, ,           3.2,     0.6761025, , 
          3.4,     0.6913477, ,           3.4,     0.6913477, ,           3.4,     0.6913477, ,           3.4,     0.6913477, ,           3.4,     0.6913477, , 
          3.6,     0.7065772, ,           3.6,     0.7065772, ,           3.6,     0.7065772, ,           3.6,     0.7065772, ,           3.6,     0.7065772, , 
          3.8,     0.7217905, ,           3.8,     0.7217905, ,           3.8,     0.7217905, ,           3.8,     0.7217905, ,           3.8,     0.7217905, , 
            4,     0.7369874, ,             4,     0.7369874, ,             4,     0.7369874, ,             4,     0.7369874, ,             4,     0.7369874, , 
          4.2,     0.7521673, ,           4.2,     0.7521673, ,           4.2,     0.7521673, ,           4.2,     0.7521673, ,           4.2,     0.7521673, , 
          4.4,       0.76733, ,           4.4,       0.76733, ,           4.4,       0.76733, ,           4.4,       0.76733, ,           4.4,       0.76733, , 
          4.6,     0.7824751, ,           4.6,     0.7824751, ,           4.6,     0.7824751, ,           4.6,     0.7824751, ,           4.6,     0.7824751, , 
          4.8,     0.7976021, ,           4.8,     0.7976021, ,           4.8,     0.7976021, ,           4.8,     0.7976021, ,           4.8,     0.7976021, , 
            5,     0.8127107, ,             5,     0.8127107, ,             5,     0.8127107, ,             5,     0.8127107, ,             5,     0.8127107, , 

