x,y
0.997162,0.000460
0.988765,0.001881
0.975083,0.004261
0.956444,0.007492
0.933179,0.011391
0.905574,0.015728
0.873865,0.020341
0.838354,0.025159
0.799464,0.030117
0.757659,0.035087
0.713414,0.039929
0.667185,0.044490
0.619448,0.048666
0.570692,0.052336
0.521411,0.055408
0.472093,0.057779
0.423219,0.059383
0.375257,0.060147
0.328654,0.060037
0.283837,0.059021
0.241198,0.057101
0.201107,0.054301
0.163910,0.050698
0.129939,0.046360
0.099481,0.041383
0.072799,0.035865
0.050097,0.029942
0.031576,0.023763
0.017387,0.017462
0.007613,0.011061
0.002001,0.004628
0.000144,-0.001232
0.002471,-0.005123
0.009906,-0.007051
0.022652,-0.007752
0.040398,-0.007126
0.062900,-0.005027
0.090065,-0.001009
0.122188,0.005344
0.159912,0.014005
0.204052,0.024407
0.254882,0.034611
0.311093,0.042714
0.370683,0.048214
0.432068,0.051093
0.493877,0.051607
0.554949,0.050101
0.614383,0.047071
0.671397,0.042764
0.725166,0.037563
0.775091,0.031972
0.820785,0.026347
0.861906,0.020908
0.898150,0.015811
0.929167,0.011152
0.954663,0.007144
0.974503,0.003967
0.988664,0.001728
0.997163,0.000424
1.000000,0.000000
