"","sp.summary.Species","sp.summary.aspectnew","sp.summary.camber.med","sp.summary.Re"
"1","Accipiter_cooperii",5.69796024477524,0.118,64485.4806629834
"2","Accipiter_gentilis",6.04920671613055,0.116,88355.0055248619
"3","Accipiter_striatus",5.57446802443001,0.109,46042.8729281768
"4","Agelaius_phoeniceus",5.49381149303465,0.092,33121.0607734807
"5","Agelaius_tricolor",4.96229421854918,0.062,30780.4640883978
"6","Aimophila_aestivalis",4.99208845561957,0.081,25993.7237569061
"7","Ammodramus_caudacutus",5.0398778115114,0.097,18915.7127071823
"8","Ammodramus_maritimus",5.22033373166008,0.1055,19775.4696132597
"9","Ammodramus_savannarum",4.47697360092191,0.1075,18716.817679558
"10","Anas_platyrhynchos",6.74940800962663,0.128,57729.9447513812
"11","Aplonis_opaca",5.05611264036183,0.073,39241.7237569061
"12","Buteo_jamaicensis",5.97596243008469,0.115,98372.9502762431
"13","Buteo_lagopus",6.55428116430408,0.1475,90550.5414364641
"14","Buteo_lineatus",5.8679180280111,0.123,80147.8011049724
"15","Buteo_platypterus",6.57571138148058,0.127,64311.5138121547
"16","Buteo_regalis",6.76297719230915,0.1245,93486.4972375691
"17","Buteo_swainsoni",7.03816018558933,0.12,84783.3812154696
"18","Calcarius_lapponicus",6.19928542468869,0.076,20704.7071823204
"19","Calyptomena_viridis",5.08267881674504,0.1075,31207.1602209945
"20","Caracara_plancus",6.27678232639309,0.144,93114.6961325967
"21","Cardellina_rubrifrons",4.47047945283189,0.101,19362.8287292818
"22","Carduelis_flammea",6.1409661959599,0.083,17155.8895027624
"23","Carduelis_lawrencei",6.04170390450089,0.114,16739.5359116022
"24","Carduelis_pinus",6.3131392256507,0.088,17896.8397790055
"25","Carduelis_psaltria",5.90746056584201,0.0905,17120.0883977901
"26","Carduelis_tristis",5.61624362639734,0.0885,19533.8784530387
"27","Carpodacus_mexicanus",5.50145432311063,0.101,21899.138121547
"28","Carpodacus_purpureus",5.51377737999808,0.094,22069.1270718232
"29","Cathartes_aura",6.28951117262769,0.133,132577.325966851
"30","Catharus_fuscescens",5.47423435026235,0.089,27096.9281767956
"31","Catharus_guttatus",5.02191755648498,0.087,25428.3314917127
"32","Catharus_minimus",5.8496462980195,0.087,26152.3093922652
"33","Catharus_ustulatus",5.45374051491165,0.087,26149.1270718232
"34","Certhia_americana",4.57024580430024,0.094,19013.3038674033
"35","Circus_cyaneus",7.34832059376258,0.112,72017.5027624309
"36","Coccothraustes_vespertinus",6.04966024466806,0.1235,26036.9502762431
"37","Contopus_virens",5.90869705400375,0.0895,21260.817679558
"38","Coragyps_atratus",6.00759136961239,0.126,116778.430939227
"39","Dendroica_caerulescens",4.86920948907508,0.0845,18712.3093922652
"40","Dendroica_castanea",5.66918248473313,0.081,19630.6740331492
"41","Dendroica_cerulea",5.64365255054144,0.073,17372.2872928177
"42","Dendroica_coronata",5.53497667381351,0.082,20575.8232044199
"43","Dendroica_discolor",4.9507404311122,0.085,16831.8232044199
"44","Dendroica_dominica",4.96020685837048,0.085,18972.9944751381
"45","Dendroica_fusca",6.44460862918856,0.088,16928.8839779006
"46","Dendroica_graciae",4.96249308676775,0.073,17405.7016574586
"47","Dendroica_magnolia",5.26093247971194,0.08,18131.8011049724
"48","Dumetella_carolinensis",4.43332828137805,0.102,28592.0883977901
"49","Empidonax_alnorum",5.26650177823326,0.0925,20561.7679558011
"50","Empidonax_flaviventris",5.43454838460691,0.0915,20164.5082872928
"51","Empidonax_minimus",5.2826434192662,0.101,18415.5580110497
"52","Empidonax_traillii",5.48240308996644,0.086,20053.1270718232
"53","Euphagus_carolinus",5.06687938641651,0.061,29981.1712707182
"54","Euphonia_violacea",4.51127317028957,0.097,18435.182320442
"55","Falco_columbarius",7.0529269095469,0.122,42080.6187845304
"56","Falco_mexicanus",7.94772484243409,0.1245,57655.955801105
"57","Falco_peregrinus",7.79437801622994,0.131,62606.8508287293
"58","Falco_sparverius",7.59709089833911,0.12,36766.1436464088
"59","Geothlypis_trichas",4.60888967067045,0.099,16992
"60","Helmitheros_vermivorum",5.19966601032312,0.089,20694.6298342541
"61","Hylocichla_mustelina",5.36017267783405,0.091,28704.5303867403
"62","Icteria_virens",4.8973480901728,0.091,24053.3038674033
"63","Icterus_cucullatus",5.31768289760588,0.088,23451.0497237569
"64","Icterus_galbula",5.42648886439547,0.101,26292.861878453
"65","Icterus_parisorum",5.33230331980226,0.104,28039.955801105
"66","Icterus_spurius",5.37869338264023,0.089,23201.2375690608
"67","Ictinia_mississippiensis",8.12247702568471,0.121,50929.3259668508
"68","Junco_hyemalis",4.87373578316373,0.098,23566.408839779
"69","Junco_phaeonotus",4.59147785310325,0.1015,25387.7569060773
"70","Lanius_ludovicianus",5.02751653941421,0.1125,28277.3038674033
"71","Limnothlypis_swainsonii",5.18106991033893,0.092,20838.364640884
"72","Loxia_curvirostra",6.50932759406525,0.088,18593.2375690608
"73","Melospiza_georgiana",4.74084310407761,0.089,19181.4364640884
"74","Melospiza_melodia",4.84693515741634,0.1005,21546.4309392265
"75","Melozone_crissalis",3.90458798477788,0.102,34152.1325966851
"76","Mimus_polyglottos",4.48508409409669,0.0985,36467.5359116022
"77","Mniotilta_varia",5.59718811471039,0.089,18581.5690607735
"78","Molothrus_ater",5.88759539090343,0.097,23975.6022099448
"79","Myiarchus_cinerascens",4.89603462240132,0.084,30032.0883977901
"80","Myiarchus_crinitus",5.38572200361456,0.101,28875.8453038674
"81","Oceanites_oceanicus",7.60363859960216,0.1055,25177.9889502762
"82","Oceanodroma_castro",8.46242419163821,0.134,23316.3314917127
"83","Oceanodroma_furcata",8.52041247956565,0.127,24647.0718232044
"84","Oceanodroma_leucorhoa",8.11614606581882,0.1205,27207.2486187845
"85","Oporornis_agilis",5.65598181232282,0.079,18792.1325966851
"86","Oporornis_formosus",5.31290876065861,0.08,19371.8453038674
"87","Oporornis_philadelphia",5.81148540710535,0.08,17933.9668508287
"88","Oporornis_tolmiei",4.98526584035295,0.096,18115.8895027624
"89","Pandion_haliaetus",8.03465962930259,0.141,91824.7955801105
"90","Parabuteo_unicinctus",5.54558843280405,0.1235,92576.3535911602
"91","Parula_americana",5.24411194961704,0.087,17040.7955801105
"92","Passer_domesticus",5.59373667946616,0.093,21279.6464088398
"93","Passerculus_sandwichensis",5.81520686205216,0.0985,20255.2044198895
"94","Passerella_iliaca",4.77935043062873,0.088,26399.2044198895
"95","Phalaropus_fulicarius",8.22392868874171,0.11,24245.0386740332
"96","Pheucticus_ludovicianus",5.50307860852904,0.097,27538.2099447514
"97","Pheucticus_melanocephalus",5.03250542166069,0.088,28936.8397790055
"98","Pinicola_enucleator",5.32904556039914,0.098,30996.861878453
"99","Pipilo_erythrophthalmus",4.14080776059766,0.0955,28349.9668508287
"100","Pipilo_maculatus",4.33186118993327,0.106,28276.5082872928
"101","Pipra_erythrocephala",5.07215302522384,0.1125,16580.6850828729
"102","Piranga_ludoviciana",5.48773057982677,0.0875,26181.7458563536
"103","Piranga_olivacea",5.60571430198199,0.097,24406.2762430939
"104","Piranga_rubra",5.34950989596325,0.101,25839.9116022099
"105","Pooecetes_gramineus",5.158857561466,0.0915,23886.2320441989
"106","Protonotaria_citrea",5.5522907104897,0.0865,19079.0718232044
"107","Puffinus_tenuirostris",10.6800350248064,0.165,38953.1933701657
"108","Quiscalus_major",5.70100885230555,0.0905,41171.5359116022
"109","Quiscalus_mexicanus",5.22679136019639,0.091,54423.7790055249
"110","Quiscalus_quiscula",5.34310527373323,0.095,39893.0386740332
"111","Rostrhamus_sociabilis",6.16219409364082,0.099,85669.1270718232
"112","Sayornis_phoebe",6.02302713188729,0.114,24404.1546961326
"113","Scolopax_minor",5.53180962158637,0.116,39273.0165745856
"114","Seiurus_aurocapilla",5.26021899845753,0.084,22012.3756906077
"115","Seiurus_motacilla",5.85579926891819,0.0875,21666.2983425414
"116","Seiurus_noveboracensis",5.56092770910031,0.087,21399.7790055249
"117","Sitta_canadensis",5.21537330485392,0.1015,19262.8508287293
"118","Sitta_carolinensis",5.55242013119994,0.0985,24087.5138121547
"119","Sitta_pusilla",5.37248074707285,0.103,18069.7458563536
"120","Spiza_americana",5.30566460456632,0.0945,21737.1049723757
"121","Spizella_arborea",4.36016672807023,0.088,22238.0552486188
"122","Spizella_passerina",4.98511402929595,0.087,20710.0110497238
"123","Spizella_pusilla",4.69492179598234,0.097,20373.7458563536
"124","Sterna_caspia",11.0133079983134,0.136,53172.861878453
"125","Sterna_elegans",11.3585382977599,0.154,42553.9889502762
"126","Sterna_maxima",11.2033156953254,0.141,45978.6961325967
"127","Sturnella_magna",5.34829500987193,0.106,32449.591160221
"128","Sturnus_vulgaris",6.63860805572944,0.104,28355.0055248619
"129","Toxostoma_rufum",4.40059770806365,0.108,33962.7845303867
"130","Turdus_migratorius",5.96062363285803,0.103,33039.6464088398
"131","Tyrannus_tyrannus",6.58928956788754,0.0945,28276.5082872928
"132","Tyto_alba",6.2135328988425,0.107,80117.0386740331
"133","Vermivora_celata",4.86141094704843,0.091,17904.2651933702
"134","Vermivora_peregrina",5.64638980677975,0.081,17497.9889502762
"135","Vermivora_ruficapilla",5.28573534626512,0.098,17119.2928176796
"136","Wilsonia_canadensis",5.05672021304754,0.092,19195.7569060773
"137","Wilsonia_citrina",4.94973102569257,0.0785,19663.0276243094
"138","Wilsonia_pusilla",4.97786137695899,0.096,16205.9668508287
"139","Zonotrichia_albicollis",4.75208870472216,0.1035,22857.2817679558
"140","Zonotrichia_atricapilla",5.18396464738491,0.0935,23323.4917127072
"141","Zonotrichia_leucophrys",5.32600977922807,0.09,22680.3977900552
