,sp.summary.Species,sp.summary.aspectnew,sp.summary.camber.med,sp.summary.Re
1,Aix_sponsa,6.94813692105481,0.1385,43546.6077348066
2,Bucephala_albeola,7.3636656132042,0.1415,37744.4419889503
3,Aythya_affinis,6.90061949077429,0.147,39322.8729281768
4,Aythya_marila,7.61439126536913,0.154,43635.9779005525
5,Aythya_valisineria,9.79344825892052,0.157,44364.1988950276
6,Aythya_americana,6.94003538825184,0.132,48489.546961326
7,Aythya_collaris,7.84010775777676,0.131,39089.7679558011
8,Anas_acuta,9.61126039113264,0.137,47905.591160221
9,Anas_crecca,7.81063989344227,0.126,34846.1436464088
10,Anas_platyrhynchos,6.83169409724686,0.1375,57161.3701657459
11,Anas_americana,8.0798744924279,0.1335,48142.9392265193
12,Anas_clypeata,9.00283217428284,0.107,40072.044198895
13,Anas_discors,7.3604334551229,0.128,37230.4972375691
14,Anas_cyanoptera,7.45444956111569,0.11,40858.8729281768
15,Zenaida_macroura,6.48066131308544,0.104,33839.2044198895
16,Zenaida_asiatica,6.45197439000273,0.095,35674.8729281768
17,Columba_livia,7.07251927215158,0.108,47411.8011049724
18,Oceanites_oceanicus,7.60363859960216,0.1055,25177.9889502762
19,Puffinus_tenuirostris,10.6800350248064,0.165,38953.1933701657
20,Oceanodroma_leucorhoa,8.11614606581882,0.1205,27207.2486187845
21,Phaethon_lepturus,10.0984811896771,0.169,38982.8950276243
22,Pluvialis_squatarola,9.114376469953,0.121,32503.4254143646
23,Pluvialis_dominica,11.1304961038712,0.115,27381.4806629834
24,Tringa_melanoleuca,7.92227942522304,0.103,38655.1160220994
25,Tringa_solitaria,9.02678843388952,0.1015,23056.9723756906
26,Phalaropus_fulicarius,9.07369660068976,0.102,24150.0994475138
27,Scolopax_minor,5.53180962158637,0.116,39273.0165745856
28,Limnodromus_griseus,8.76390900741911,0.122,27111.2486187845
29,Sterna_caspia,11.0133079983134,0.136,53172.861878453
30,Sterna_nilotica,13.2634180649695,0.116,35695.5580110497
31,Sterna_maxima,11.4512848813866,0.142,45061.6574585635
32,Sterna_elegans,11.3585382977599,0.154,42553.9889502762
33,Sterna_sandvicensis,11.0081620047582,0.136,35657.3701657459
34,Sterna_hirundo,10.7710976440848,0.139,33087.1160220994
35,Rallus_longirostris,4.97919118924878,0.111,46771.0939226519
36,Rallus_limicola,5.29407657450055,0.106,33019.226519337
37,Porzana_carolina,5.9539206210461,0.103,28303.0276243094
38,Falco_columbarius,7.0529269095469,0.122,42080.6187845304
39,Falco_sparverius,7.59709089833911,0.12,36766.1436464088
40,Falco_mexicanus,7.94772484243409,0.1245,57655.955801105
41,Falco_peregrinus,7.79437801622994,0.131,62606.8508287293
42,Caracara_plancus,6.27678232639309,0.144,93114.6961325967
43,Myiarchus_crinitus,5.38572200361456,0.101,28875.8453038674
44,Tyrannus_tyrannus,6.58928956788754,0.0945,28276.5082872928
45,Empidonax_flaviventris,5.43454838460691,0.0915,20164.5082872928
46,Empidonax_minimus,5.2826434192662,0.101,18415.5580110497
47,Empidonax_traillii,5.48240308996644,0.086,20053.1270718232
48,Empidonax_alnorum,5.05854925365476,0.099,20821.9226519337
49,Contopus_virens,5.90869705400375,0.0895,21260.817679558
50,Sayornis_phoebe,6.02302713188729,0.114,24404.1546961326
51,Lanius_ludovicianus,5.02751653941421,0.1125,28277.3038674033
52,Progne_subis,7.95675289394581,0.082,24901.6574585635
53,Riparia_riparia,7.71375239365044,0.089,17197.2596685083
54,Tachycineta_bicolor,7.34783567342448,0.084,19563.3149171271
55,Hirundo_rustica,8.37803821614179,0.096,19101.8784530387
56,Petrochelidon_pyrrhonota,7.5469774264009,0.0775,19614.7624309392
57,Certhia_americana,4.57024580430024,0.094,19013.3038674033
58,Sitta_canadensis,5.21537330485392,0.1015,19262.8508287293
59,Sitta_pusilla,5.37248074707285,0.103,18069.7458563536
60,Sitta_carolinensis,5.55242013119994,0.0985,24087.5138121547
61,Sturnus_vulgaris,6.63860805572944,0.104,28355.0055248619
62,Mimus_polyglottos,4.48508409409669,0.0985,36467.5359116022
63,Toxostoma_rufum,4.40059770806365,0.108,33962.7845303867
64,Dumetella_carolinensis,4.43332828137805,0.102,28592.0883977901
65,Turdus_migratorius,5.96062363285803,0.103,33039.6464088398
66,Hylocichla_mustelina,5.36017267783405,0.091,28704.5303867403
67,Catharus_fuscescens,5.47423435026235,0.089,27096.9281767956
68,Catharus_minimus,5.8496462980195,0.087,26152.3093922652
69,Catharus_guttatus,5.02191755648498,0.087,25428.3314917127
70,Catharus_ustulatus,5.45374051491165,0.087,26149.1270718232
71,Coccothraustes_vespertinus,6.04966024466806,0.1235,26036.9502762431
72,Loxia_curvirostra,6.50932759406525,0.088,18593.2375690608
73,Carduelis_lawrencei,6.04170390450089,0.114,16739.5359116022
74,Carduelis_psaltria,5.90746056584201,0.0905,17120.0883977901
75,Carduelis_tristis,5.61624362639734,0.0885,19533.8784530387
76,Carduelis_pinus,6.3131392256507,0.088,17896.8397790055
77,Carpodacus_purpureus,5.51377737999808,0.094,22069.1270718232
78,Carpodacus_mexicanus,5.50145432311063,0.101,21899.138121547
79,Pinicola_enucleator,5.32904556039914,0.098,30996.861878453
80,Piranga_ludoviciana,5.48773057982677,0.0875,26181.7458563536
81,Piranga_olivacea,5.60571430198199,0.097,24406.2762430939
82,Piranga_rubra,5.34950989596325,0.101,25839.9116022099
83,Pheucticus_ludovicianus,5.50307860852904,0.097,27538.2099447514
84,Pheucticus_melanocephalus,5.03250542166069,0.088,28936.8397790055
85,Melospiza_georgiana,4.74084310407761,0.089,19181.4364640884
86,Melospiza_melodia,4.84693515741634,0.1005,21546.4309392265
87,Passerculus_sandwichensis,5.81520686205216,0.0985,20255.2044198895
88,Ammodramus_maritimus,5.22033373166008,0.1055,19775.4696132597
89,Ammodramus_caudacutus,5.0398778115114,0.097,18915.7127071823
90,Pooecetes_gramineus,5.158857561466,0.0915,23886.2320441989
91,Pipilo_erythrophthalmus,4.14080776059766,0.0955,28349.9668508287
92,Pipilo_maculatus,4.33186118993327,0.106,28276.5082872928
93,Pipilo_crissalis,3.90458798477788,0.102,34152.1325966851
94,Spizella_arborea,4.36016672807023,0.088,22238.0552486188
95,Passerella_iliaca,4.77935043062873,0.088,26399.2044198895
96,Zonotrichia_albicollis,4.75208870472216,0.1035,22857.2817679558
97,Zonotrichia_atricapilla,5.18396464738491,0.0935,23323.4917127072
98,Zonotrichia_leucophrys,5.32600977922807,0.09,22680.3977900552
99,Junco_phaeonotus,4.59147785310325,0.1015,25387.7569060773
100,Junco_hyemalis,4.87373578316373,0.098,23566.408839779
101,Spizella_pusilla,4.69492179598234,0.097,20373.7458563536
102,Spizella_passerina,4.98511402929595,0.087,20710.0110497238
103,Ammodramus_savannarum,4.47697360092191,0.1075,18716.817679558
104,Aimophila_aestivalis,4.99208845561957,0.081,25993.7237569061
105,Quiscalus_mexicanus,5.22679136019639,0.091,54423.7790055249
106,Quiscalus_major,5.70100885230555,0.0905,41171.5359116022
107,Quiscalus_quiscula,5.34310527373323,0.095,39893.0386740332
108,Euphagus_carolinus,5.06687938641651,0.061,29981.1712707182
109,Molothrus_ater,5.88759539090343,0.097,23975.6022099448
110,Agelaius_phoeniceus,5.49381149303465,0.092,33121.0607734807
111,Agelaius_tricolor,4.96229421854918,0.062,30780.4640883978
112,Icterus_spurius,5.37869338264023,0.089,23201.2375690608
113,Icterus_galbula,5.42648886439547,0.101,26292.861878453
114,Sturnella_magna,5.34829500987193,0.106,32449.591160221
115,Seiurus_aurocapilla,5.26021899845753,0.084,22012.3756906077
116,Mniotilta_varia,5.59718811471039,0.089,18581.5690607735
117,Seiurus_motacilla,5.85579926891819,0.0875,21666.2983425414
118,Seiurus_noveboracensis,5.56092770910031,0.087,21399.7790055249
119,Vermivora_celata,4.86141094704843,0.091,17904.2651933702
120,Vermivora_ruficapilla,5.28573534626512,0.098,17119.2928176796
121,Vermivora_peregrina,5.64638980677975,0.081,17497.9889502762
122,Protonotaria_citrea,5.5522907104897,0.0865,19079.0718232044
123,Limnothlypis_swainsonii,5.18106991033893,0.092,20838.364640884
124,Oporornis_formosus,5.31290876065861,0.08,19371.8453038674
125,Oporornis_tolmiei,4.98526584035295,0.096,18115.8895027624
126,Oporornis_philadelphia,5.81148540710535,0.08,17933.9668508287
127,Oporornis_agilis,5.65598181232282,0.079,18792.1325966851
128,Geothlypis_trichas,4.60888967067045,0.099,16992
129,Dendroica_magnolia,5.26093247971194,0.08,18131.8011049724
130,Dendroica_fusca,6.44460862918856,0.088,16928.8839779006
131,Dendroica_castanea,5.66918248473313,0.081,19630.6740331492
132,Dendroica_cerulea,5.64365255054144,0.073,17372.2872928177
133,Dendroica_dominica,4.96020685837048,0.085,18972.9944751381
134,Dendroica_coronata,5.53497667381351,0.082,20575.8232044199
135,Dendroica_discolor,4.9507404311122,0.085,16831.8232044199
136,Dendroica_caerulescens,4.86920948907508,0.0845,18712.3093922652
137,Parula_americana,5.24411194961704,0.087,17040.7955801105
138,Wilsonia_citrina,4.94973102569257,0.0785,19663.0276243094
139,Wilsonia_canadensis,5.05672021304754,0.092,19195.7569060773
140,Cardellina_rubrifrons,4.47047945283189,0.101,19362.8287292818
141,Wilsonia_pusilla,4.97786137695899,0.096,16205.9668508287
142,Helmitheros_vermivorum,5.19966601032312,0.089,20694.6298342541
143,Icteria_virens,4.8973480901728,0.091,24053.3038674033
144,Calcarius_lapponicus,6.19928542468869,0.076,20704.7071823204
145,Passer_domesticus,5.59373667946616,0.093,21279.6464088398
