Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, ,            -1,     0.6552704, , 
         -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, ,          -0.8,     0.6553631, , 
         -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, ,          -0.6,     0.6554436, , 
         -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, ,          -0.4,      0.655513, , 
         -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, ,          -0.2,     0.6555723, , 
            0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, ,             0,     0.6556222, , 
          0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, ,           0.2,     0.6556635, , 
          0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, ,           0.4,     0.6556969, , 
          0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, ,           0.6,     0.6557231, , 
          0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, ,           0.8,     0.6557426, , 
