Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      6.995486, ,            -1,      7.145275, ,            -1,      6.015461, ,            -1,      7.261725, ,            -1,      7.321681, ,            -1,        7.3349, ,            -1,      7.449473, ,            -1,      7.525845, ,            -1,      7.566294, ,            -1,      6.204021, ,            -1,       6.55101, ,            -1,      6.840756, ,            -1,      6.867156, , 
         -0.8,      7.096354, ,          -0.8,      7.265238, ,          -0.8,      6.075734, ,          -0.8,      7.390242, ,          -0.8,      7.453511, ,          -0.8,      7.467834, ,          -0.8,      7.589729, ,          -0.8,      7.670339, ,          -0.8,      7.712898, ,          -0.8,      6.267289, ,          -0.8,      6.620754, ,          -0.8,         6.927, ,          -0.8,      6.955738, , 
         -0.6,       7.19627, ,          -0.6,      7.384547, ,          -0.6,      6.131821, ,          -0.6,      7.516952, ,          -0.6,      7.583813, ,          -0.6,      7.599512, ,          -0.6,      7.728219, ,          -0.6,      7.811806, ,          -0.6,      7.855103, ,          -0.6,      6.325912, ,          -0.6,       6.68502, ,          -0.6,      7.007946, ,          -0.6,      7.039769, , 
         -0.4,      7.294664, ,          -0.4,      7.502113, ,          -0.4,      6.182631, ,          -0.4,      7.641995, ,          -0.4,      7.712506, ,          -0.4,      7.729062, ,          -0.4,      7.859388, ,          -0.4,      7.942214, ,          -0.4,      7.984403, ,          -0.4,      6.379195, ,          -0.4,      6.743803, ,          -0.4,      7.082816, ,          -0.4,      7.118519, , 
         -0.2,      7.389711, ,          -0.2,      7.617648, ,          -0.2,      6.230044, ,          -0.2,      7.765236, ,          -0.2,       7.83795, ,          -0.2,      7.855634, ,          -0.2,       7.98259, ,          -0.2,      8.058954, ,          -0.2,      8.098251, ,          -0.2,      6.428411, ,          -0.2,      6.797182, ,          -0.2,      7.150929, ,          -0.2,      7.191036, , 
            0,      7.476783, ,             0,      7.726545, ,             0,      6.272395, ,             0,      7.881596, ,             0,      7.952662, ,             0,      7.967621, ,             0,      8.080597, ,             0,      8.150552, ,             0,      8.187311, ,             0,       6.47253, ,             0,      6.845284, ,             0,      7.211787, ,             0,      7.256115, , 
          0.2,      7.552671, ,           0.2,      7.823323, ,           0.2,      6.311337, ,           0.2,       7.98341, ,           0.2,       8.05519, ,           0.2,      8.069486, ,           0.2,      8.173625, ,           0.2,      8.236656, ,           0.2,      8.270225, ,           0.2,      6.512689, ,           0.2,      6.888263, ,           0.2,      7.265378, ,           0.2,      7.313142, , 
          0.4,      7.615717, ,           0.4,      7.907368, ,           0.4,      6.346353, ,           0.4,      8.066333, ,           0.4,      8.135953, ,           0.4,      8.149549, ,           0.4,      8.248293, ,           0.4,       8.30791, ,           0.4,      8.339483, ,           0.4,      6.548629, ,           0.4,      6.926354, ,           0.4,      7.312048, ,           0.4,      7.362356, , 
          0.6,      7.668329, ,           0.6,      7.977468, ,           0.6,       6.37887, ,           0.6,      8.145749, ,           0.6,      8.216041, ,           0.6,       8.23088, ,           0.6,      8.329743, ,           0.6,      8.386117, ,           0.6,      8.415675, ,           0.6,      6.581374, ,           0.6,      6.959838, ,           0.6,      7.352378, ,           0.6,      7.404539, , 
          0.8,      7.711523, ,           0.8,      8.034307, ,           0.8,      6.406809, ,           0.8,      8.210362, ,           0.8,      8.283349, ,           0.8,      8.297735, ,           0.8,      8.392563, ,           0.8,      8.446203, ,           0.8,      8.474127, ,           0.8,      6.609632, ,           0.8,      6.988931, ,           0.8,      7.386868, ,           0.8,      7.440431, , 
