Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -5,     0.4219537, ,            -5,     0.4219537, ,            -5,     0.4219537, ,            -5,     0.4219537, ,            -5,     0.4219537, , 
         -4.8,     0.4323142, ,          -4.8,     0.4323142, ,          -4.8,     0.4323142, ,          -4.8,     0.4323142, ,          -4.8,     0.4323142, , 
         -4.6,     0.4426646, ,          -4.6,     0.4426646, ,          -4.6,     0.4426646, ,          -4.6,     0.4426646, ,          -4.6,     0.4426646, , 
         -4.4,     0.4530046, ,          -4.4,     0.4530046, ,          -4.4,     0.4530046, ,          -4.4,     0.4530046, ,          -4.4,     0.4530046, , 
         -4.2,     0.4633337, ,          -4.2,     0.4633337, ,          -4.2,     0.4633337, ,          -4.2,     0.4633337, ,          -4.2,     0.4633337, , 
           -4,     0.4736516, ,            -4,     0.4736516, ,            -4,     0.4736516, ,            -4,     0.4736516, ,            -4,     0.4736516, , 
         -3.8,      0.483958, ,          -3.8,      0.483958, ,          -3.8,      0.483958, ,          -3.8,      0.483958, ,          -3.8,      0.483958, , 
         -3.6,     0.4942524, ,          -3.6,     0.4942524, ,          -3.6,     0.4942524, ,          -3.6,     0.4942524, ,          -3.6,     0.4942524, , 
         -3.4,     0.5045345, ,          -3.4,     0.5045345, ,          -3.4,     0.5045345, ,          -3.4,     0.5045345, ,          -3.4,     0.5045345, , 
         -3.2,     0.5148039, ,          -3.2,     0.5148039, ,          -3.2,     0.5148039, ,          -3.2,     0.5148039, ,          -3.2,     0.5148039, , 
           -3,     0.5250602, ,            -3,     0.5250602, ,            -3,     0.5250602, ,            -3,     0.5250602, ,            -3,     0.5250602, , 
         -2.8,     0.5353032, ,          -2.8,     0.5353032, ,          -2.8,     0.5353032, ,          -2.8,     0.5353032, ,          -2.8,     0.5353032, , 
         -2.6,     0.5455324, ,          -2.6,     0.5455324, ,          -2.6,     0.5455324, ,          -2.6,     0.5455324, ,          -2.6,     0.5455324, , 
         -2.4,     0.5557475, ,          -2.4,     0.5557475, ,          -2.4,     0.5557475, ,          -2.4,     0.5557475, ,          -2.4,     0.5557475, , 
         -2.2,     0.5659481, ,          -2.2,     0.5659481, ,          -2.2,     0.5659481, ,          -2.2,     0.5659481, ,          -2.2,     0.5659481, , 
           -2,     0.5761339, ,            -2,     0.5761339, ,            -2,     0.5761339, ,            -2,     0.5761339, ,            -2,     0.5761339, , 
         -1.8,     0.5863045, ,          -1.8,     0.5863045, ,          -1.8,     0.5863045, ,          -1.8,     0.5863045, ,          -1.8,     0.5863045, , 
         -1.6,     0.5964595, ,          -1.6,     0.5964595, ,          -1.6,     0.5964595, ,          -1.6,     0.5964595, ,          -1.6,     0.5964595, , 
         -1.4,     0.6065986, ,          -1.4,     0.6065986, ,          -1.4,     0.6065986, ,          -1.4,     0.6065986, ,          -1.4,     0.6065986, , 
         -1.2,     0.6167214, ,          -1.2,     0.6167214, ,          -1.2,     0.6167214, ,          -1.2,     0.6167214, ,          -1.2,     0.6167214, , 
           -1,     0.6268277, ,            -1,     0.6268277, ,            -1,     0.6268277, ,            -1,     0.6268277, ,            -1,     0.6268277, , 
         -0.8,     0.6369169, ,          -0.8,     0.6369169, ,          -0.8,     0.6369169, ,          -0.8,     0.6369169, ,          -0.8,     0.6369169, , 
         -0.6,     0.6469888, ,          -0.6,     0.6469888, ,          -0.6,     0.6469888, ,          -0.6,     0.6469888, ,          -0.6,     0.6469888, , 
         -0.4,     0.6570431, ,          -0.4,     0.6570431, ,          -0.4,     0.6570431, ,          -0.4,     0.6570431, ,          -0.4,     0.6570431, , 
         -0.2,     0.6670794, ,          -0.2,     0.6670794, ,          -0.2,     0.6670794, ,          -0.2,     0.6670794, ,          -0.2,     0.6670794, , 
            0,     0.6770972, ,             0,     0.6770972, ,             0,     0.6770972, ,             0,     0.6770972, ,             0,     0.6770972, , 
          0.2,     0.6870964, ,           0.2,     0.6870964, ,           0.2,     0.6870964, ,           0.2,     0.6870964, ,           0.2,     0.6870964, , 
          0.4,     0.6970765, ,           0.4,     0.6970765, ,           0.4,     0.6970765, ,           0.4,     0.6970765, ,           0.4,     0.6970765, , 
          0.6,     0.7070372, ,           0.6,     0.7070372, ,           0.6,     0.7070372, ,           0.6,     0.7070372, ,           0.6,     0.7070372, , 
          0.8,     0.7169782, ,           0.8,     0.7169782, ,           0.8,     0.7169782, ,           0.8,     0.7169782, ,           0.8,     0.7169782, , 
            1,     0.7268991, ,             1,     0.7268991, ,             1,     0.7268991, ,             1,     0.7268991, ,             1,     0.7268991, , 
          1.2,     0.7367996, ,           1.2,     0.7367996, ,           1.2,     0.7367996, ,           1.2,     0.7367996, ,           1.2,     0.7367996, , 
          1.4,     0.7466793, ,           1.4,     0.7466793, ,           1.4,     0.7466793, ,           1.4,     0.7466793, ,           1.4,     0.7466793, , 
          1.6,     0.7565379, ,           1.6,     0.7565379, ,           1.6,     0.7565379, ,           1.6,     0.7565379, ,           1.6,     0.7565379, , 
          1.8,     0.7663751, ,           1.8,     0.7663751, ,           1.8,     0.7663751, ,           1.8,     0.7663751, ,           1.8,     0.7663751, , 
            2,     0.7761906, ,             2,     0.7761906, ,             2,     0.7761906, ,             2,     0.7761906, ,             2,     0.7761906, , 
          2.2,     0.7859839, ,           2.2,     0.7859839, ,           2.2,     0.7859839, ,           2.2,     0.7859839, ,           2.2,     0.7859839, , 
          2.4,     0.7957549, ,           2.4,     0.7957549, ,           2.4,     0.7957549, ,           2.4,     0.7957549, ,           2.4,     0.7957549, , 
          2.6,     0.8055031, ,           2.6,     0.8055031, ,           2.6,     0.8055031, ,           2.6,     0.8055031, ,           2.6,     0.8055031, , 
          2.8,     0.8152282, ,           2.8,     0.8152282, ,           2.8,     0.8152282, ,           2.8,     0.8152282, ,           2.8,     0.8152282, , 
            3,     0.8249299, ,             3,     0.8249299, ,             3,     0.8249299, ,             3,     0.8249299, ,             3,     0.8249299, , 
          3.2,      0.834608, ,           3.2,      0.834608, ,           3.2,      0.834608, ,           3.2,      0.834608, ,           3.2,      0.834608, , 
          3.4,      0.844262, ,           3.4,      0.844262, ,           3.4,      0.844262, ,           3.4,      0.844262, ,           3.4,      0.844262, , 
          3.6,     0.8538916, ,           3.6,     0.8538916, ,           3.6,     0.8538916, ,           3.6,     0.8538916, ,           3.6,     0.8538916, , 
          3.8,     0.8634966, ,           3.8,     0.8634966, ,           3.8,     0.8634966, ,           3.8,     0.8634966, ,           3.8,     0.8634966, , 
            4,     0.8730765, ,             4,     0.8730765, ,             4,     0.8730765, ,             4,     0.8730765, ,             4,     0.8730765, , 
          4.2,     0.8826312, ,           4.2,     0.8826312, ,           4.2,     0.8826312, ,           4.2,     0.8826312, ,           4.2,     0.8826312, , 
          4.4,     0.8921603, ,           4.4,     0.8921603, ,           4.4,     0.8921603, ,           4.4,     0.8921603, ,           4.4,     0.8921603, , 
          4.6,     0.9016635, ,           4.6,     0.9016635, ,           4.6,     0.9016635, ,           4.6,     0.9016635, ,           4.6,     0.9016635, , 
          4.8,     0.9111404, ,           4.8,     0.9111404, ,           4.8,     0.9111404, ,           4.8,     0.9111404, ,           4.8,     0.9111404, , 
            5,     0.9205908, ,             5,     0.9205908, ,             5,     0.9205908, ,             5,     0.9205908, ,             5,     0.9205908, , 
