Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -3,      0.655348, ,            -3,      0.655348, ,            -3,      0.655348, ,            -3,      0.655348, ,            -3,      0.655348, ,            -3,      0.655348, ,            -3,      0.655348, ,            -3,      0.655348, ,            -3,      0.655348, ,            -3,      0.655348, ,            -3,      0.655348, , 
         -2.8,     0.6553797, ,          -2.8,     0.6553797, ,          -2.8,     0.6553797, ,          -2.8,     0.6553797, ,          -2.8,     0.6553797, ,          -2.8,     0.6553797, ,          -2.8,     0.6553797, ,          -2.8,     0.6553797, ,          -2.8,     0.6553797, ,          -2.8,     0.6553797, ,          -2.8,     0.6553797, , 
         -2.6,     0.6554008, ,          -2.6,     0.6554008, ,          -2.6,     0.6554008, ,          -2.6,     0.6554008, ,          -2.6,     0.6554008, ,          -2.6,     0.6554008, ,          -2.6,     0.6554008, ,          -2.6,     0.6554008, ,          -2.6,     0.6554008, ,          -2.6,     0.6554008, ,          -2.6,     0.6554008, , 
         -2.4,     0.6554121, ,          -2.4,     0.6554121, ,          -2.4,     0.6554121, ,          -2.4,     0.6554121, ,          -2.4,     0.6554121, ,          -2.4,     0.6554121, ,          -2.4,     0.6554121, ,          -2.4,     0.6554121, ,          -2.4,     0.6554121, ,          -2.4,     0.6554121, ,          -2.4,     0.6554121, , 
         -2.2,     0.6554141, ,          -2.2,     0.6554141, ,          -2.2,     0.6554141, ,          -2.2,     0.6554141, ,          -2.2,     0.6554141, ,          -2.2,     0.6554141, ,          -2.2,     0.6554141, ,          -2.2,     0.6554141, ,          -2.2,     0.6554141, ,          -2.2,     0.6554141, ,          -2.2,     0.6554141, , 
           -2,     0.6554075, ,            -2,     0.6554075, ,            -2,     0.6554075, ,            -2,     0.6554075, ,            -2,     0.6554075, ,            -2,     0.6554075, ,            -2,     0.6554075, ,            -2,     0.6554075, ,            -2,     0.6554075, ,            -2,     0.6554075, ,            -2,     0.6554075, , 
         -1.8,     0.6553929, ,          -1.8,     0.6553929, ,          -1.8,     0.6553929, ,          -1.8,     0.6553929, ,          -1.8,     0.6553929, ,          -1.8,     0.6553929, ,          -1.8,     0.6553929, ,          -1.8,     0.6553929, ,          -1.8,     0.6553929, ,          -1.8,     0.6553929, ,          -1.8,     0.6553929, , 
         -1.6,     0.6553709, ,          -1.6,     0.6553709, ,          -1.6,     0.6553709, ,          -1.6,     0.6553709, ,          -1.6,     0.6553709, ,          -1.6,     0.6553709, ,          -1.6,     0.6553709, ,          -1.6,     0.6553709, ,          -1.6,     0.6553709, ,          -1.6,     0.6553709, ,          -1.6,     0.6553709, , 
         -1.4,     0.6553418, ,          -1.4,     0.6553418, ,          -1.4,     0.6553418, ,          -1.4,     0.6553418, ,          -1.4,     0.6553418, ,          -1.4,     0.6553418, ,          -1.4,     0.6553418, ,          -1.4,     0.6553418, ,          -1.4,     0.6553418, ,          -1.4,     0.6553418, ,          -1.4,     0.6553418, , 
         -1.2,     0.6553062, ,          -1.2,     0.6553062, ,          -1.2,     0.6553062, ,          -1.2,     0.6553062, ,          -1.2,     0.6553062, ,          -1.2,     0.6553062, ,          -1.2,     0.6553062, ,          -1.2,     0.6553062, ,          -1.2,     0.6553062, ,          -1.2,     0.6553062, ,          -1.2,     0.6553062, , 
