Alpha,T1-15.8 m/s-VLM2, , 
           -5,     0.6586936, , 
         -4.8,     0.6587628, , 
         -4.6,     0.6588183, , 
         -4.4,     0.6588608, , 
         -4.2,     0.6588914, , 
           -4,     0.6589108, , 
         -3.8,     0.6589197, , 
         -3.6,     0.6589189, , 
         -3.4,     0.6589089, , 
         -3.2,     0.6588904, , 
           -3,     0.6588638, , 
         -2.8,     0.6588299, , 
         -2.6,     0.6587889, , 
         -2.4,     0.6587414, , 
         -2.2,     0.6586878, , 
           -2,     0.6586285, , 
         -1.8,     0.6585638, , 
         -1.6,     0.6584942, , 
         -1.4,       0.65842, , 
         -1.2,     0.6583413, , 
           -1,     0.6582587, , 
         -0.8,     0.6581722, , 
         -0.6,     0.6580823, , 
         -0.4,     0.6579891, , 
         -0.2,     0.6578929, , 
            0,     0.6577939, , 
          0.2,     0.6576922, , 
          0.4,     0.6575882, , 
          0.6,      0.657482, , 
          0.8,     0.6573738, , 
            1,     0.6572637, , 
          1.2,     0.6571519, , 
          1.4,     0.6570387, , 
          1.6,      0.656924, , 
          1.8,     0.6568081, , 
            2,     0.6566911, , 
          2.2,     0.6565731, , 
          2.4,     0.6564543, , 
          2.6,     0.6563348, , 
          2.8,     0.6562146, , 
            3,      0.656094, , 
          3.2,      0.655973, , 
          3.4,     0.6558517, , 
          3.6,     0.6557302, , 
          3.8,     0.6556087, , 
            4,     0.6554871, , 
          4.2,     0.6553657, , 
          4.4,     0.6552444, , 

