Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.5759254, ,            -1,     0.5759254, ,            -1,     0.5759254, , 
         -0.8,     0.5760053, ,          -0.8,     0.5760053, ,          -0.8,     0.5760053, , 
         -0.6,     0.5760528, ,          -0.6,     0.5760528, ,          -0.6,     0.5760528, , 
         -0.4,     0.5760757, ,          -0.4,     0.5760757, ,          -0.4,     0.5760757, , 
         -0.2,     0.5760794, ,          -0.2,     0.5760794, ,          -0.2,     0.5760794, , 
            0,     0.5760675, ,             0,     0.5760675, ,             0,     0.5760675, , 
          0.2,     0.5760428, ,           0.2,     0.5760428, ,           0.2,     0.5760428, , 
          0.4,     0.5760074, ,           0.4,     0.5760074, ,           0.4,     0.5760074, , 
          0.6,     0.5759627, ,           0.6,     0.5759627, ,           0.6,     0.5759627, , 
          0.8,       0.57591, ,           0.8,       0.57591, ,           0.8,       0.57591, , 
            1,     0.5758501, ,             1,     0.5758501, ,             1,     0.5758501, , 
          1.2,     0.5757838, ,           1.2,     0.5757838, ,           1.2,     0.5757838, , 
          1.4,     0.5757117, ,           1.4,     0.5757117, ,           1.4,     0.5757117, , 
          1.6,     0.5756343, ,           1.6,     0.5756343, ,           1.6,     0.5756343, , 
          1.8,     0.5755518, ,           1.8,     0.5755518, ,           1.8,     0.5755518, , 
            2,     0.5754647, ,             2,     0.5754647, ,             2,     0.5754647, , 
          2.2,     0.5753732, ,           2.2,     0.5753732, ,           2.2,     0.5753732, , 
          2.4,     0.5752775, ,           2.4,     0.5752775, ,           2.4,     0.5752775, , 
          2.6,     0.5751778, ,           2.6,     0.5751778, ,           2.6,     0.5751778, , 
          2.8,     0.5750743, ,           2.8,     0.5750743, ,           2.8,     0.5750743, , 
            3,     0.5749671, ,             3,     0.5749671, ,             3,     0.5749671, , 
          3.2,     0.5748563, ,           3.2,     0.5748563, ,           3.2,     0.5748563, , 
          3.4,     0.5747421, ,           3.4,     0.5747421, ,           3.4,     0.5747421, , 
          3.6,     0.5746245, ,           3.6,     0.5746245, ,           3.6,     0.5746245, , 
          3.8,     0.5745036, ,           3.8,     0.5745036, ,           3.8,     0.5745036, , 
            4,     0.5743794, ,             4,     0.5743794, ,             4,     0.5743794, , 
          4.2,     0.5742522, ,           4.2,     0.5742522, ,           4.2,     0.5742522, , 
          4.4,     0.5741218, ,           4.4,     0.5741218, ,           4.4,     0.5741218, , 
          4.6,     0.5739884, ,           4.6,     0.5739884, ,           4.6,     0.5739884, , 
          4.8,      0.573852, ,           4.8,      0.573852, ,           4.8,      0.573852, , 
            5,     0.5737127, ,             5,     0.5737127, ,             5,     0.5737127, , 
          5.2,     0.5735705, ,           5.2,     0.5735705, ,           5.2,     0.5735705, , 
          5.4,     0.5734255, ,           5.4,     0.5734255, ,           5.4,     0.5734255, , 
          5.6,     0.5732776, ,           5.6,     0.5732776, ,           5.6,     0.5732776, , 
          5.8,     0.5731269, ,           5.8,     0.5731269, ,           5.8,     0.5731269, , 
            6,     0.5729735, ,             6,     0.5729735, ,             6,     0.5729735, , 
          6.2,     0.5728174, ,           6.2,     0.5728174, ,           6.2,     0.5728174, , 
          6.4,     0.5726586, ,           6.4,     0.5726586, ,           6.4,     0.5726586, , 
          6.6,     0.5724972, ,           6.6,     0.5724972, ,           6.6,     0.5724972, , 
          6.8,     0.5723332, ,           6.8,     0.5723332, ,           6.8,     0.5723332, , 
            7,     0.5721665, ,             7,     0.5721665, ,             7,     0.5721665, , 
          7.2,     0.5719973, ,           7.2,     0.5719973, ,           7.2,     0.5719973, , 
          7.4,     0.5718256, ,           7.4,     0.5718256, ,           7.4,     0.5718256, , 
          7.6,     0.5716514, ,           7.6,     0.5716514, ,           7.6,     0.5716514, , 

