Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      8.714264, ,            -1,      9.657045, ,            -1,      10.29713, ,            -1,      10.63819, ,            -1,      10.88821, ,            -1,       10.9846, ,            -1,      5.924418, ,            -1,      6.774363, ,            -1,      7.823774, , 
         -0.8,      9.104084, ,          -0.8,      10.06909, ,          -0.8,      10.72379, ,          -0.8,      11.07233, ,          -0.8,      11.32667, ,          -0.8,       11.4247, ,          -0.8,      6.227519, ,          -0.8,      7.107773, ,          -0.8,       8.18935, , 
         -0.6,      9.465394, ,          -0.6,      10.44763, ,          -0.6,      11.11305, ,          -0.6,      11.46576, ,          -0.6,      11.72257, ,          -0.6,      11.82214, ,          -0.6,      6.515299, ,          -0.6,       7.42217, ,          -0.6,      8.530938, , 
         -0.4,      9.798259, ,          -0.4,      10.79228, ,          -0.4,      11.46552, ,          -0.4,      11.82077, ,          -0.4,      12.07914, ,          -0.4,      12.17916, ,          -0.4,      6.787579, ,          -0.4,      7.717418, ,          -0.4,      8.848634, , 
         -0.2,      10.10345, ,          -0.2,       11.1047, ,          -0.2,      11.78247, ,          -0.2,      12.13921, ,          -0.2,      12.39724, ,          -0.2,       12.4968, ,          -0.2,      7.044277, ,          -0.2,      7.993595, ,          -0.2,      9.142768, , 
            0,      10.38155, ,             0,      11.38527, ,             0,      12.06449, ,             0,      12.42187, ,             0,      12.67937, ,             0,      12.77781, ,             0,      7.285299, ,             0,      8.250741, ,             0,      9.413575, , 
          0.2,      10.63335, ,           0.2,      11.63563, ,           0.2,      12.31363, ,           0.2,      12.66984, ,           0.2,      12.92665, ,           0.2,      13.02412, ,           0.2,        7.5108, ,           0.2,      8.489139, ,           0.2,      9.661599, , 
          0.4,      10.85991, ,           0.4,      11.85726, ,           0.4,      12.53123, ,           0.4,      12.88514, ,           0.4,      13.14068, ,           0.4,       13.2374, ,           0.4,      7.720929, ,           0.4,      8.709079, ,           0.4,       9.88754, , 
          0.6,       11.0623, ,           0.6,      12.05151, ,           0.6,      12.71918, ,           0.6,      13.07003, ,           0.6,      13.32312, ,           0.6,      13.41843, ,           0.6,         7.916, ,           0.6,      8.911093, ,           0.6,      10.09211, , 
          0.8,      11.24169, ,           0.8,      12.22016, ,           0.8,      12.87967, ,           0.8,      13.22625, ,           0.8,      13.47613, ,           0.8,      13.57006, ,           0.8,      8.096258, ,           0.8,       9.09566, ,           0.8,      10.27618, , 
            1,      11.39911, ,             1,      12.36466, ,             1,      13.01436, ,             1,       13.3555, ,             1,      13.60165, ,             1,      13.69439, ,             1,      8.261924, ,             1,      9.263164, ,             1,      10.44047, , 
          1.2,       11.5357, ,           1.2,      12.48646, ,           1.2,      13.12521, ,           1.2,      13.46034, ,           1.2,      13.70217, ,           1.2,      13.79343, ,           1.2,      8.413249, ,           1.2,      9.414177, ,           1.2,      10.58575, , 
          1.4,      11.65251, ,           1.4,      12.58698, ,           1.4,      13.21377, ,           1.4,      13.54238, ,           1.4,      13.77914, ,           1.4,      13.86848, ,           1.4,      8.550088, ,           1.4,      9.549278, ,           1.4,      10.71294, , 
          1.6,      11.75055, ,           1.6,       12.6676, ,           1.6,      13.28171, ,           1.6,      13.60356, ,           1.6,      13.83505, ,           1.6,      13.92237, ,           1.6,      8.672446, ,           1.6,      9.668847, ,           1.6,      10.82284, , 
          1.8,      11.83084, ,           1.8,      12.72958, ,           1.8,      13.33053, ,           1.8,      13.64539, ,           1.8,      13.87144, ,           1.8,      13.95661, ,           1.8,       8.78126, ,           1.8,      9.773341, ,           1.8,      10.91606, , 
            2,      11.89431, ,             2,      12.77401, ,             2,      13.36141, ,             2,      13.66915, ,             2,      13.88967, ,             2,      13.97267, ,             2,      8.876939, ,             2,      9.863126, ,             2,       10.9932, , 
          2.2,      11.94146, ,           2.2,      12.80132, ,           2.2,      13.37421, ,           2.2,      13.67372, ,           2.2,      13.88763, ,           2.2,        13.968, ,           2.2,      8.959048, ,           2.2,      9.938498, ,           2.2,      11.05474, , 
          2.4,      11.97064, ,           2.4,      12.80097, ,           2.4,      13.33679, ,           2.4,       13.5992, ,           2.4,      13.78912, ,           2.4,      13.86497, ,           2.4,      9.027719, ,           2.4,      9.999181, ,           2.4,      11.10018, , 
          2.6,      11.96565, ,           2.6,      12.72157, ,           2.6,      13.20944, ,           2.6,      13.42559, ,           2.6,      13.63878, ,           2.6,      13.71575, ,           2.6,        9.0828, ,           2.6,      10.04446, ,           2.6,      11.12622, , 
          2.8,      11.89862, ,           2.8,      12.58076, ,           2.8,       13.0495, ,           2.8,      13.21139, ,           2.8,      13.43222, ,           2.8,      13.51234, ,           2.8,      9.122665, ,           2.8,       10.0712, ,           2.8,      11.11758, , 
            3,      11.77794, ,             3,      12.39098, ,             3,      12.86326, ,             3,      12.97461, ,             3,       13.1728, ,             3,      13.26395, ,             3,      9.114995, ,             3,      10.03399, ,             3,      11.06102, , 
          3.2,      11.62145, ,           3.2,      12.17214, ,           3.2,      12.64798, ,           3.2,      12.71667, ,           3.2,      12.89037, ,           3.2,      12.98951, ,           3.2,      9.073736, ,           3.2,      9.955294, ,           3.2,      10.95834, , 
          3.4,      11.43212, ,           3.4,      11.94092, ,           3.4,      12.39049, ,           3.4,      12.43466, ,           3.4,      12.58571, ,           3.4,      12.68031, ,           3.4,      9.008831, ,           3.4,      9.853229, ,           3.4,      10.80403, , 
          3.6,      11.22021, ,           3.6,      11.70646, ,           3.6,      12.11452, ,           3.6,       12.1462, ,           3.6,      12.28067, ,           3.6,      12.36795, ,           3.6,      8.931107, ,           3.6,      9.737509, ,           3.6,      10.62666, , 
          3.8,      10.99974, ,           3.8,      11.46489, ,           3.8,      11.84124, ,           3.8,      11.86468, ,           3.8,      11.98437, ,           3.8,      12.06144, ,           3.8,      8.842703, ,           3.8,      9.608215, ,           3.8,      10.43909, , 
            4,       10.7827, ,             4,      11.21707, ,             4,       11.5689, ,             4,      11.58898, ,             4,      11.68837, ,             4,      11.75523, ,             4,      8.756572, ,             4,      9.483992, ,             4,      10.25285, , 
          4.2,      10.57258, ,           4.2,      10.93378, ,           4.2,      11.26729, ,           4.2,      11.31691, ,           4.2,      11.40803, ,           4.2,      11.46542, ,           4.2,      8.667437, ,           4.2,      9.359936, ,           4.2,      10.07318, , 
          4.4,      10.36116, ,           4.4,      10.74721, ,           4.4,       11.0241, ,           4.4,      11.05092, ,           4.4,      11.14418, ,           4.4,      11.19433, ,           4.4,      8.582256, ,           4.4,      9.244328, ,           4.4,      9.905129, , 
          4.6,      10.15404, ,           4.6,      10.52519, ,           4.6,      10.75019, ,           4.6,      10.79656, ,           4.6,      10.88724, ,           4.6,      10.93145, ,           4.6,      8.496579, ,           4.6,      9.131677, ,           4.6,      9.739675, , 
          4.8,      9.959094, ,           4.8,      10.28899, ,           4.8,      10.50831, ,           4.8,      10.56024, ,           4.8,      10.64114, ,           4.8,      10.68135, ,           4.8,       8.40678, ,           4.8,      9.015629, ,           4.8,      9.581695, , 
            5,      9.775706, ,             5,      10.07945, ,             5,      10.28237, ,             5,      10.33425, ,             5,      10.40947, ,             5,      10.44585, ,             5,      8.317189, ,             5,      8.901698, ,             5,      9.428472, , 
          5.2,      9.596389, ,           5.2,      9.868837, ,           5.2,      10.05531, ,           5.2,      10.11384, ,           5.2,      10.18615, ,           5.2,      10.21828, ,           5.2,      8.226118, ,           5.2,       8.78808, ,           5.2,      9.274781, , 
          5.4,      9.421211, ,           5.4,      9.681733, ,           5.4,      9.853001, ,           5.4,      9.900516, ,           5.4,      9.969997, ,           5.4,      9.999437, ,           5.4,      8.133617, ,           5.4,      8.673709, ,           5.4,      9.124044, , 
          5.6,      9.249355, ,           5.6,      9.481048, ,           5.6,      9.641244, ,           5.6,      9.697197, ,           5.6,      9.760582, ,           5.6,      9.790278, ,           5.6,      8.037676, ,           5.6,      8.555627, ,           5.6,      8.975211, , 
          5.8,      9.081887, ,           5.8,      9.305297, ,           5.8,      9.455751, ,           5.8,      9.500104, ,           5.8,      9.555174, ,           5.8,      9.617659, ,           5.8,      7.938586, ,           5.8,      8.434275, ,           5.8,      8.827543, , 
            6,       8.91637, ,             6,       9.12552, ,             6,      9.257474, ,             6,      9.303764, ,             6,      9.377059, ,             6,      9.451336, ,             6,       7.83874, ,             6,      8.313398, ,             6,      8.680009, , 
          6.2,       8.75445, ,           6.2,      8.936862, ,           6.2,      9.065838, ,           6.2,       9.11315, ,           6.2,      9.224047, ,           6.2,      9.285034, ,           6.2,      7.737688, ,           6.2,       8.19238, ,           6.2,      8.532806, , 
          6.4,      8.592261, ,           6.4,      8.759967, ,           6.4,      8.880296, ,           6.4,      8.947394, ,           6.4,      9.063297, ,           6.4,      9.084089, ,           6.4,      7.635594, ,           6.4,      8.070894, ,           6.4,      8.386947, , 
          6.6,      8.431638, ,           6.6,      8.600119, ,           6.6,      8.703472, ,           6.6,      8.779602, ,           6.6,      8.888396, ,           6.6,      8.812367, ,           6.6,      7.531721, ,           6.6,      7.947872, ,           6.6,      8.241721, , 
          6.8,      8.272428, ,           6.8,      8.427139, ,           6.8,       8.51989, ,           6.8,      8.605794, ,           6.8,      8.667609, ,           6.8,       8.59948, ,           6.8,      7.424896, ,           6.8,      7.822059, ,           6.8,      8.096926, , 
            7,       8.11592, ,             7,      8.253061, ,             7,      8.346185, ,             7,      8.431421, ,             7,      8.504049, ,             7,      8.460486, ,             7,      7.316885, ,             7,      7.695887, ,             7,      7.952873, , 
          7.2,      7.960276, ,           7.2,      8.084001, ,           7.2,      8.186265, ,           7.2,      8.257778, ,           7.2,      8.313357, ,           7.2,      8.310408, ,           7.2,      7.207192, ,           7.2,      7.569182, ,           7.2,       7.80844, , 
          7.4,      7.805616, ,           7.4,      7.921433, ,           7.4,      8.026829, ,           7.4,       8.04929, ,           7.4,      8.093554, ,           7.4,      8.136809, ,           7.4,      7.095586, ,           7.4,      7.441689, ,           7.4,      7.663999, , 
          7.6,      7.651216, ,           7.6,      7.761454, ,           7.6,      7.865618, ,           7.6,      7.879003, ,           7.6,      7.910742, ,           7.6,      7.984646, ,           7.6,      6.980594, ,           7.6,      7.311583, ,           7.6,      7.519731, , 
          7.8,      7.497683, ,           7.8,      7.604741, ,           7.8,      7.704582, ,           7.8,      7.730234, ,           7.8,       7.76307, ,           7.8,      7.819775, ,           7.8,      6.863247, ,           7.8,      7.180367, ,           7.8,      7.375488, , 
            8,      7.344759, ,             8,      7.443989, ,             8,      7.536795, ,             8,      7.575402, ,             8,      7.619682, ,             8,      7.665833, ,             8,      6.742567, ,             8,      7.047374, ,             8,      7.230602, , 
          8.2,      7.192328, ,           8.2,      7.283144, ,           8.2,      7.364373, ,           8.2,      7.388299, ,           8.2,      7.465713, ,           8.2,      7.511765, , , , ,           8.2,      6.912258, ,           8.2,      7.084228, , 
          8.4,      7.038957, ,           8.4,      7.123816, ,           8.4,      7.193311, ,           8.4,      7.205546, ,           8.4,      7.318956, ,           8.4,      7.350145, , , , ,           8.4,      6.774233, ,           8.4,      6.936452, , 
          8.6,       6.88448, ,           8.6,      6.964142, ,           8.6,      7.037027, ,           8.6,       7.04349, ,           8.6,        7.1605, ,           8.6,      7.182632, , , , , , , ,           8.6,      6.786574, , 
          8.8,      6.609321, ,           8.8,      6.735542, ,           8.8,      6.821068, ,           8.8,        6.7981, ,           8.8,      6.990662, ,           8.8,      7.017482, , , , , , , , , , , 
            9,      5.556976, ,             9,       5.64593, ,             9,      5.590118, ,             9,      5.448575, ,             9,      5.564379, ,             9,      5.534761, , , , , , , , , , , 
          9.2,      4.528124, ,           9.2,      4.530019, ,           9.2,      4.435956, , , , , , , , , , , , , , , , , , , , 

