Alpha,T1-10.0 m/s-VLM2, , Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.2 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-21.5 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.3 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-29.3 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-5.2 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, ,            -2,     0.6082401, , 
         -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, ,          -1.8,     0.6082667, , 
         -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, ,          -1.6,     0.6082823, , 
         -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, ,          -1.4,     0.6082876, , 
         -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, ,          -1.2,     0.6082835, , 
           -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, ,            -1,     0.6082705, , 
         -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, ,          -0.8,     0.6082493, , 
         -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, ,          -0.6,     0.6082204, , 
         -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, ,          -0.4,     0.6081845, , 
         -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, ,          -0.2,     0.6081419, , 
            0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, ,             0,      0.608093, , 
          0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, ,           0.2,     0.6080384, , 
          0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, ,           0.4,     0.6079782, , 
          0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, ,           0.6,     0.6079129, , 
          0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, ,           0.8,     0.6078428, , 
            1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, ,             1,     0.6077682, , 
          1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, ,           1.2,     0.6076892, , 
          1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, ,           1.4,     0.6076062, , 
          1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, ,           1.6,     0.6075194, , 
          1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, ,           1.8,      0.607429, , 
            2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, ,             2,     0.6073352, , 
