Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, ,            -2,     0.6344169, , 
         -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, ,          -1.8,     0.6344227, , 
         -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, ,          -1.6,     0.6344206, , 
         -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, ,          -1.4,     0.6344115, , 
         -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, ,          -1.2,     0.6343959, , 
           -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, ,            -1,     0.6343744, , 
         -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, ,          -0.8,     0.6343475, , 
         -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, ,          -0.6,     0.6343156, , 
         -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, ,          -0.4,     0.6342793, , 
         -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, ,          -0.2,     0.6342388, , 
