Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      9.197436, ,            -2,      9.066187, ,            -2,      10.08783, ,            -2,      8.987547, ,            -2,      8.944582, ,            -2,      8.933945, ,            -2,      8.822472, ,            -2,      8.713315, ,            -2,      8.677802, ,            -2,       9.89591, ,            -2,      9.650755, ,            -2,      9.362255, ,            -2,      9.328874, , 
         -1.8,      9.047892, ,          -1.8,      8.917485, ,          -1.8,      9.939642, ,          -1.8,      8.840502, ,          -1.8,      8.772946, ,          -1.8,      8.758191, ,          -1.8,      8.624965, ,          -1.8,      8.513506, ,          -1.8,       8.47746, ,          -1.8,       9.74723, ,          -1.8,      9.502396, ,          -1.8,       9.21328, ,          -1.8,      9.179679, , 
         -1.6,      8.908132, ,          -1.6,       8.77797, ,          -1.6,      9.803792, ,          -1.6,      8.702191, ,          -1.6,      8.606919, ,          -1.6,      8.587108, ,          -1.6,      8.433632, ,          -1.6,      8.320977, ,          -1.6,      8.285503, ,          -1.6,      9.610438, ,          -1.6,      9.364963, ,          -1.6,      9.074667, ,          -1.6,      9.040701, , 
         -1.4,      8.777564, ,          -1.4,      8.647039, ,          -1.4,      9.678703, ,          -1.4,      8.566989, ,          -1.4,      8.442641, ,          -1.4,      8.417967, ,          -1.4,      8.253526, ,          -1.4,      8.136423, ,          -1.4,      8.101371, ,          -1.4,      9.484243, ,          -1.4,      9.237505, ,          -1.4,      8.945728, ,          -1.4,      8.911364, , 
         -1.2,      8.655588, ,          -1.2,      8.523608, ,          -1.2,      9.563542, ,          -1.2,      8.426637, ,          -1.2,       8.28409, ,          -1.2,      8.256161, ,          -1.2,      8.083917, ,          -1.2,      7.962761, ,          -1.2,      7.928046, ,          -1.2,      9.367862, ,          -1.2,      9.119471, ,          -1.2,      8.825786, ,          -1.2,      8.791043, , 
           -1,       8.54195, ,            -1,      8.406556, ,            -1,      9.460406, ,            -1,      8.287624, ,            -1,      8.124943, ,            -1,       8.09585, ,            -1,      7.921125, ,            -1,      7.799327, ,            -1,      7.764936, ,            -1,       9.26267, ,            -1,      9.010908, ,            -1,       8.71433, ,            -1,      8.679209, , 
         -0.8,      8.436258, ,          -0.8,      8.294608, ,          -0.8,       9.36366, ,          -0.8,      8.148525, ,          -0.8,      7.972026, ,          -0.8,      7.943196, ,          -0.8,      7.766129, ,          -0.8,      7.645237, ,          -0.8,       7.61133, ,          -0.8,       9.16445, ,          -0.8,      8.910276, ,          -0.8,      8.610775, ,          -0.8,      8.575218, , 
         -0.6,      8.338004, ,          -0.6,      8.182925, ,          -0.6,      9.275307, ,          -0.6,      8.011999, ,          -0.6,      7.828126, ,          -0.6,      7.799549, ,          -0.6,      7.620207, ,          -0.6,      7.500056, ,          -0.6,      7.466533, ,          -0.6,      9.074526, ,          -0.6,      8.817616, ,          -0.6,      8.514703, ,          -0.6,      8.478625, , 
         -0.4,      8.246621, ,          -0.4,      8.074596, ,          -0.4,      9.195056, ,          -0.4,      7.878749, ,          -0.4,      7.692725, ,          -0.4,      7.664393, ,          -0.4,       7.48273, ,          -0.4,        7.3634, ,          -0.4,      7.330218, ,          -0.4,      8.992503, ,          -0.4,      8.732434, ,          -0.4,      8.425288, ,          -0.4,      8.388856, , 
         -0.2,      8.161501, ,          -0.2,      7.970804, ,          -0.2,      9.125471, ,          -0.2,      7.761074, ,          -0.2,      7.576339, ,          -0.2,      7.547879, ,          -0.2,      7.364838, ,          -0.2,      7.246313, ,          -0.2,      7.213334, ,          -0.2,      8.920298, ,          -0.2,      8.655143, ,          -0.2,      8.342005, ,          -0.2,      8.305086, , 
            0,      8.081861, ,             0,      7.871589, ,             0,      9.059739, ,             0,       7.64916, ,             0,      7.457953, ,             0,      7.428761, ,             0,      7.248769, ,             0,      7.133279, ,             0,      7.101836, ,             0,      8.852891, ,             0,      8.584141, ,             0,      8.264355, ,             0,      8.226668, , 
          0.2,      8.004845, ,           0.2,      7.780423, ,           0.2,      8.999614, ,           0.2,      7.550782, ,           0.2,      7.356031, ,           0.2,      7.326978, ,           0.2,      7.144954, ,           0.2,      7.028388, ,           0.2,      6.996279, ,           0.2,      8.791476, ,           0.2,      8.519673, ,           0.2,       8.19225, ,           0.2,      8.153135, , 
          0.4,      7.928066, ,           0.4,      7.694897, ,           0.4,      8.947676, ,           0.4,      7.460289, ,           0.4,      7.262798, ,           0.4,      7.234014, ,           0.4,      7.054753, ,           0.4,      6.940867, ,           0.4,      6.910563, ,           0.4,      8.737886, ,           0.4,      8.462035, ,           0.4,      8.125598, ,           0.4,      8.084794, , 
          0.6,       7.84841, ,           0.6,      7.612667, ,           0.6,      8.901712, ,           0.6,      7.376056, ,           0.6,      7.176219, ,           0.6,       7.14784, ,           0.6,      6.984192, ,           0.6,      6.878828, ,           0.6,       6.87822, ,           0.6,       8.69042, ,           0.6,      8.410621, ,           0.6,      8.063935, ,           0.6,      8.021152, , 
          0.8,       7.77233, ,           0.8,      7.535385, ,           0.8,      8.861433, ,           0.8,      7.297193, ,           0.8,      7.099685, ,           0.8,      7.073962, ,           0.8,      6.921105, ,           0.8,      6.819208, ,           0.8,      6.818843, ,           0.8,      8.648843, ,           0.8,      8.365153, ,           0.8,      8.007477, ,           0.8,      7.962168, , 
            1,      7.702209, ,             1,      7.462806, ,             1,      8.826466, ,             1,      7.220245, ,             1,      7.031558, ,             1,      7.010124, ,             1,       6.86484, ,             1,      6.779389, ,             1,      6.770097, ,             1,      8.612845, ,             1,      8.325577, ,             1,      7.956535, ,             1,      7.908397, , 
          1.2,      7.636147, ,           1.2,      7.397817, ,           1.2,      8.796525, ,           1.2,      7.156641, ,           1.2,      6.988849, ,           1.2,      6.968183, ,           1.2,      6.831982, ,           1.2,      6.752573, ,           1.2,      6.744019, ,           1.2,      8.582104, ,           1.2,      8.291715, ,           1.2,      7.911438, ,           1.2,      7.860214, , 
          1.4,      7.581916, ,           1.4,      7.343858, ,           1.4,      8.771361, ,           1.4,      7.101723, ,           1.4,      6.954768, ,           1.4,      6.937039, ,           1.4,      6.810931, ,           1.4,      6.753602, ,           1.4,      6.736945, ,           1.4,      8.556323, ,           1.4,      8.263289, ,           1.4,      7.871786, ,           1.4,      7.817662, , 
