Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, ,            -2,     0.4247547, , 
         -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, ,          -1.8,     0.4348592, , 
         -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, ,          -1.6,     0.4449511, , 
         -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, ,          -1.4,     0.4550299, , 
         -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, ,          -1.2,     0.4650954, , 
           -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, ,            -1,     0.4751471, , 
         -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, ,          -0.8,     0.4851846, , 
         -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, ,          -0.6,     0.4952078, , 
         -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, ,          -0.4,      0.505216, , 
         -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, ,          -0.2,     0.5152091, , 
            0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, ,             0,     0.5251867, , 
          0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, ,           0.2,     0.5351484, , 
          0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, ,           0.4,     0.5450938, , 
          0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, ,           0.6,     0.5550226, , 
          0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, ,           0.8,     0.5649345, , 
            1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, ,             1,     0.5748291, , 
          1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, ,           1.2,      0.584706, , 
          1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, ,           1.4,      0.594565, , 
          1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, ,           1.6,     0.6044056, , 
          1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, ,           1.8,     0.6142275, , 
            2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, ,             2,     0.6240304, , 
