Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -2,      1.568619, ,            -2,      1.541639, ,            -2,      1.536207, ,            -2,      1.820883, ,            -2,      1.659603, , 
         -1.8,      1.546591, ,          -1.8,      1.519368, ,          -1.8,      1.513862, ,          -1.8,      1.800484, ,          -1.8,      1.638534, , 
         -1.6,      1.525927, ,          -1.6,      1.498446, ,          -1.6,      1.492869, ,          -1.6,      1.781661, ,          -1.6,      1.618868, , 
         -1.4,      1.506534, ,          -1.4,      1.478793, ,          -1.4,      1.473142, ,          -1.4,      1.764307, ,          -1.4,      1.600539, , 
         -1.2,      1.488354, ,          -1.2,      1.460322, ,          -1.2,      1.454589, ,          -1.2,      1.748364, ,          -1.2,       1.58348, , 
           -1,      1.471307, ,            -1,      1.442967, ,            -1,      1.437153, ,            -1,      1.733753, ,            -1,      1.567599, , 
         -0.8,      1.455323, ,          -0.8,      1.426662, ,          -0.8,      1.420772, ,          -0.8,      1.720398, ,          -0.8,      1.552859, , 
         -0.6,      1.440343, ,          -0.6,      1.411306, ,          -0.6,      1.405337, ,          -0.6,      1.708248, ,          -0.6,      1.539201, , 
         -0.4,      1.426328, ,          -0.4,      1.396837, ,          -0.4,      1.390779, ,          -0.4,      1.697198, ,          -0.4,      1.526556, , 
         -0.2,      1.413239, ,          -0.2,      1.383203, ,          -0.2,      1.376645, ,          -0.2,      1.687247, ,          -0.2,      1.514889, , 
            0,      1.400993, ,             0,      1.370353, ,             0,      1.363112, ,             0,      1.678266, ,             0,      1.504162, , 
          0.2,      1.389572, ,           0.2,       1.35813, ,           0.2,      1.350185, ,           0.2,      1.670224, ,           0.2,      1.494345, , 
          0.4,      1.378987, ,           0.4,      1.346539, ,           0.4,      1.337805, ,           0.4,      1.662838, ,           0.4,      1.485386, , 
          0.6,       1.36918, ,           0.6,      1.335679, ,           0.6,      1.326088, ,           0.6,      1.656561, ,           0.6,      1.477261, , 
          0.8,      1.360101, ,           0.8,      1.325434, ,           0.8,      1.315181, ,           0.8,      1.651094, ,           0.8,      1.469939, , 
            1,      1.351733, ,             1,      1.315788, ,             1,       1.30507, ,             1,      1.646397, ,             1,      1.463382, , 
          1.2,      1.344124, ,           1.2,      1.306863, ,           1.2,      1.295879, ,           1.2,      1.642443, ,           1.2,      1.457572, , 
          1.4,      1.337223, ,           1.4,      1.298777, ,           1.4,      1.287474, ,           1.4,      1.639205, ,           1.4,      1.452491, , 
          1.6,       1.33098, ,           1.6,      1.291672, ,           1.6,      1.280245, ,           1.6,       1.63663, ,           1.6,      1.448107, , 
