Alpha,T1-15.8 m/s-VLM2, , 
           -2,     0.9178794, , 
         -1.8,     0.9333351, , 
         -1.6,     0.9487706, , 
         -1.4,     0.9641857, , 
         -1.2,     0.9795799, , 
           -1,     0.9949528, , 
         -0.8,      1.010304, , 
         -0.6,      1.025633, , 
         -0.4,       1.04094, , 
         -0.2,      1.056223, , 
            0,      1.071484, , 
          0.2,      1.086721, , 
          0.4,      1.101933, , 
          0.6,      1.117121, , 
          0.8,      1.132285, , 
            1,      1.147423, , 
          1.2,      1.162535, , 
          1.4,      1.177621, , 
          1.6,      1.192681, , 
          1.8,      1.207714, , 
            2,       1.22272, , 
          2.2,      1.237699, , 
          2.4,      1.252649, , 
          2.6,      1.267571, , 
          2.8,      1.282465, , 
            3,      1.297329, , 
          3.2,      1.312164, , 
          3.4,      1.326969, , 
          3.6,      1.341744, , 
          3.8,      1.356488, , 
            4,      1.371202, , 
          4.2,      1.385884, , 
          4.4,      1.400534, , 
          4.6,      1.415153, , 

