Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,      6.338508, ,            -2,      6.422932, ,            -2,      5.008701, ,            -2,      6.468477, ,            -2,      6.486258, ,            -2,      6.504782, ,            -2,      6.512191, ,            -2,      6.516404, ,            -2,      5.446933, ,            -2,      5.788028, ,            -2,      6.234906, , 
         -1.8,      6.368131, ,          -1.8,      6.455538, ,          -1.8,      5.027614, ,          -1.8,      6.502371, ,          -1.8,      6.520619, ,          -1.8,      6.539344, ,          -1.8,      6.546024, ,          -1.8,      6.549978, ,          -1.8,      5.465676, ,          -1.8,       5.80876, ,          -1.8,      6.261126, , 
         -1.6,      6.395013, ,          -1.6,      6.485337, ,          -1.6,      5.044396, ,          -1.6,      6.533427, ,          -1.6,      6.552115, ,          -1.6,      6.571099, ,          -1.6,      6.577268, ,          -1.6,        6.5809, ,          -1.6,      5.481969, ,          -1.6,       5.82698, ,          -1.6,      6.284737, , 
         -1.4,      6.419247, ,          -1.4,      6.512419, ,          -1.4,       5.05896, ,          -1.4,      6.561736, ,          -1.4,      6.580844, ,          -1.4,      6.599993, ,          -1.4,      6.606099, ,          -1.4,      6.609343, ,          -1.4,      5.495938, ,          -1.4,      5.842797, ,          -1.4,      6.305828, , 
         -1.2,      6.440906, ,          -1.2,      6.536848, ,          -1.2,      5.071385, ,          -1.2,      6.587377, ,          -1.2,      6.606907, ,          -1.2,       6.62613, ,          -1.2,      6.632498, ,          -1.2,      6.635499, ,          -1.2,      5.507662, ,          -1.2,       5.85629, ,          -1.2,      6.324479, , 
           -1,       6.46007, ,            -1,      6.558685, ,            -1,      5.081581, ,            -1,      6.610423, ,            -1,      6.630377, ,            -1,       6.64967, ,            -1,      6.656203, ,            -1,      6.659263, ,            -1,      5.517048, ,            -1,      5.867426, ,            -1,      6.340748, , 
         -0.8,      6.476805, ,          -0.8,      6.578039, ,          -0.8,      5.089674, ,          -0.8,      6.630953, ,          -0.8,      6.651346, ,          -0.8,      6.670764, ,          -0.8,      6.677329, ,          -0.8,      6.680562, ,          -0.8,      5.524272, ,          -0.8,      5.876347, ,          -0.8,      6.354717, , 
         -0.6,      6.491208, ,          -0.6,      6.594962, ,          -0.6,      5.095801, ,          -0.6,      6.649046, ,          -0.6,      6.669879, ,          -0.6,      6.689468, ,          -0.6,       6.69602, ,          -0.6,      6.699298, ,          -0.6,      5.529425, ,          -0.6,      5.883128, ,          -0.6,      6.366428, , 
         -0.4,      6.503385, ,          -0.4,      6.609552, ,          -0.4,      5.099936, ,          -0.4,      6.664809, ,          -0.4,      6.686051, ,          -0.4,      6.705891, ,          -0.4,      6.712382, ,          -0.4,      6.715658, ,          -0.4,      5.532542, ,          -0.4,      5.887815, ,          -0.4,      6.375989, , 
         -0.2,      6.513399, ,          -0.2,      6.621925, ,          -0.2,      5.102113, ,          -0.2,      6.678326, ,          -0.2,      6.699989, ,          -0.2,      6.720115, ,          -0.2,      6.726566, ,          -0.2,      6.729841, ,          -0.2,      5.533679, ,          -0.2,      5.890479, ,          -0.2,      6.383481, , 
            0,      6.521309, ,             0,      6.632126, ,             0,      5.102522, ,             0,      6.689632, ,             0,      6.711721, ,             0,      6.732251, ,             0,      6.738687, ,             0,       6.74199, ,             0,      5.532968, ,             0,      5.891221, ,             0,      6.388949, , 
          0.2,      6.527222, ,           0.2,       6.64024, ,           0.2,      5.100992, ,           0.2,      6.698803, ,           0.2,      6.721315, ,           0.2,      6.742304, ,           0.2,      6.748802, ,           0.2,      6.752143, ,           0.2,      5.530315, ,           0.2,      5.889993, ,           0.2,      6.392458, , 
          0.4,      6.531208, ,           0.4,      6.646359, ,           0.4,      5.097759, ,           0.4,      6.705971, ,           0.4,       6.72887, ,           0.4,      6.750301, ,           0.4,      6.756902, ,           0.4,      6.760259, ,           0.4,      5.525938, ,           0.4,      5.886978, ,           0.4,      6.394104, , 
          0.6,      6.533307, ,           0.6,      6.650548, ,           0.6,      5.092799, ,           0.6,      6.711195, ,           0.6,       6.73447, ,           0.6,      6.756318, ,           0.6,      6.763037, ,           0.6,      6.766422, ,           0.6,      5.519781, ,           0.6,      5.882146, ,           0.6,      6.393907, , 
          0.8,      6.533622, ,           0.8,      6.652904, ,           0.8,      5.086244, ,           0.8,      6.714564, ,           0.8,      6.738225, ,           0.8,      6.760466, ,           0.8,      6.767303, ,           0.8,      6.770763, ,           0.8,       5.51201, ,           0.8,      5.875649, ,           0.8,      6.391951, , 
            1,      6.532224, ,             1,        6.6535, ,             1,      5.078117, ,             1,      6.716145, ,             1,      6.740193, ,             1,      6.762857, ,             1,      6.769855, ,             1,      6.773328, ,             1,      5.502666, ,             1,      5.867523, ,             1,       6.38832, , 
          1.2,       6.52914, ,           1.2,      6.652395, ,           1.2,      5.068452, ,           1.2,      6.715995, ,           1.2,       6.74043, ,           1.2,      6.763536, ,           1.2,      6.770674, ,           1.2,      6.774208, ,           1.2,      5.491768, ,           1.2,      5.857785, ,           1.2,      6.383057, , 
          1.4,      6.524466, ,           1.4,      6.649669, ,           1.4,      5.057349, ,           1.4,      6.714236, ,           1.4,      6.739021, ,           1.4,      6.762513, ,           1.4,      6.769794, ,           1.4,      6.773398, ,           1.4,      5.479422, ,           1.4,       5.84653, ,           1.4,      6.376186, , 
          1.6,      6.518281, ,           1.6,      6.645399, ,           1.6,      5.044853, ,           1.6,       6.71092, ,           1.6,      6.736035, ,           1.6,      6.759893, ,           1.6,      6.767303, ,           1.6,      6.770965, ,           1.6,      5.465705, ,           1.6,      5.833866, ,           1.6,      6.367828, , 
          1.8,      6.510643, ,           1.8,      6.639648, ,           1.8,      5.031045, ,           1.8,      6.706097, ,           1.8,      6.731535, ,           1.8,      6.755751, ,           1.8,      6.763271, ,           1.8,      6.766985, ,           1.8,      5.450692, ,           1.8,      5.819845, ,           1.8,      6.358035, , 
            2,      6.501567, ,             2,      6.632501, ,             2,       5.01598, ,             2,       6.69987, ,             2,      6.725637, ,             2,      6.750161, ,             2,      6.757787, ,             2,      6.761548, ,             2,        5.4344, ,             2,      5.804468, ,             2,      6.346833, , 
          2.2,      6.491122, ,           2.2,      6.624021, ,           2.2,       4.99968, ,           2.2,      6.692348, ,           2.2,      6.718418, ,           2.2,      6.743255, ,           2.2,      6.750979, ,           2.2,       6.75478, ,           2.2,      5.416882, ,           2.2,      5.787828, ,           2.2,      6.334243, , 
          2.4,      6.479373, ,           2.4,      6.614208, ,           2.4,      4.982311, ,           2.4,      6.683579, ,           2.4,      6.709976, ,           2.4,      6.735138, ,           2.4,      6.742954, ,           2.4,      6.746859, ,           2.4,      5.398305, ,           2.4,      5.770045, ,           2.4,      6.320328, , 
          2.6,      6.466382, ,           2.6,      6.603106, ,           2.6,      4.963931, ,           2.6,      6.673558, ,           2.6,      6.700345, ,           2.6,      6.725884, ,           2.6,      6.733823, ,           2.6,       6.73833, ,           2.6,      5.378735, ,           2.6,       5.75117, ,           2.6,      6.305135, , 
          2.8,      6.452236, ,           2.8,      6.590837, ,           2.8,       4.94532, ,           2.8,      6.662294, ,           2.8,      6.689494, ,           2.8,      6.715457, ,           2.8,      6.723985, ,           2.8,      6.729568, ,           2.8,      5.358926, ,           2.8,      5.731763, ,           2.8,      6.288746, , 
            3,      6.436929, ,             3,      6.577462, ,             3,      4.925723, ,             3,      6.649993, ,             3,      6.677587, ,             3,      6.703936, ,             3,      6.713945, ,             3,      6.719803, ,             3,      5.338114, ,             3,      5.711284, ,             3,      6.271198, , 
          3.2,      6.420477, ,           3.2,      6.563012, ,           3.2,      4.904607, ,           3.2,      6.636699, ,           3.2,      6.664763, ,           3.2,      6.691885, ,           3.2,      6.702948, ,           3.2,      6.709085, ,           3.2,      5.315815, ,           3.2,      5.689384, ,           3.2,      6.252462, , 
          3.4,      6.402948, ,           3.4,      6.547558, ,           3.4,      4.882762, ,           3.4,      6.622496, ,           3.4,      6.651118, ,           3.4,       6.67971, ,           3.4,      6.691115, ,           3.4,      6.697721, ,           3.4,      5.292789, ,           3.4,      5.666647, ,           3.4,      6.232633, , 
          3.6,      6.384406, ,           3.6,      6.531059, ,           3.6,      4.860123, ,           3.6,      6.607358, ,           3.6,      6.636677, ,           3.6,      6.666787, ,           3.6,      6.678743, ,           3.6,      6.685714, ,           3.6,      5.268973, ,           3.6,      5.643036, ,           3.6,       6.21175, , 
          3.8,      6.364864, ,           3.8,      6.513532, ,           3.8,      4.836765, ,           3.8,      6.591182, ,           3.8,      6.621296, ,           3.8,       6.65309, ,           3.8,      6.665816, ,           3.8,      6.672887, ,           3.8,      5.244417, ,           3.8,       5.61856, ,           3.8,      6.189786, , 
