Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,     0.6081191, ,            -4,     0.6081191, ,            -4,     0.6081191, ,            -4,     0.6081191, ,            -4,     0.6081191, ,            -4,     0.6081191, ,            -4,     0.6081191, ,            -4,     0.6081191, ,            -4,     0.6081191, , 
         -3.8,     0.6079941, ,          -3.8,     0.6079941, ,          -3.8,     0.6079941, ,          -3.8,     0.6079941, ,          -3.8,     0.6079941, ,          -3.8,     0.6079941, ,          -3.8,     0.6079941, ,          -3.8,     0.6079941, ,          -3.8,     0.6079941, , 
         -3.6,      0.607863, ,          -3.6,      0.607863, ,          -3.6,      0.607863, ,          -3.6,      0.607863, ,          -3.6,      0.607863, ,          -3.6,      0.607863, ,          -3.6,      0.607863, ,          -3.6,      0.607863, ,          -3.6,      0.607863, , 
         -3.4,     0.6077261, ,          -3.4,     0.6077261, ,          -3.4,     0.6077261, ,          -3.4,     0.6077261, ,          -3.4,     0.6077261, ,          -3.4,     0.6077261, ,          -3.4,     0.6077261, ,          -3.4,     0.6077261, ,          -3.4,     0.6077261, , 
         -3.2,     0.6075837, ,          -3.2,     0.6075837, ,          -3.2,     0.6075837, ,          -3.2,     0.6075837, ,          -3.2,     0.6075837, ,          -3.2,     0.6075837, ,          -3.2,     0.6075837, ,          -3.2,     0.6075837, ,          -3.2,     0.6075837, , 
           -3,      0.607436, ,            -3,      0.607436, ,            -3,      0.607436, ,            -3,      0.607436, ,            -3,      0.607436, ,            -3,      0.607436, ,            -3,      0.607436, ,            -3,      0.607436, ,            -3,      0.607436, , 
         -2.8,     0.6072834, ,          -2.8,     0.6072834, ,          -2.8,     0.6072834, ,          -2.8,     0.6072834, ,          -2.8,     0.6072834, ,          -2.8,     0.6072834, ,          -2.8,     0.6072834, ,          -2.8,     0.6072834, ,          -2.8,     0.6072834, , 
         -2.6,     0.6071259, ,          -2.6,     0.6071259, ,          -2.6,     0.6071259, ,          -2.6,     0.6071259, ,          -2.6,     0.6071259, ,          -2.6,     0.6071259, ,          -2.6,     0.6071259, ,          -2.6,     0.6071259, ,          -2.6,     0.6071259, , 
         -2.4,      0.606964, ,          -2.4,      0.606964, ,          -2.4,      0.606964, ,          -2.4,      0.606964, ,          -2.4,      0.606964, ,          -2.4,      0.606964, ,          -2.4,      0.606964, ,          -2.4,      0.606964, ,          -2.4,      0.606964, , 
         -2.2,     0.6067977, ,          -2.2,     0.6067977, ,          -2.2,     0.6067977, ,          -2.2,     0.6067977, ,          -2.2,     0.6067977, ,          -2.2,     0.6067977, ,          -2.2,     0.6067977, ,          -2.2,     0.6067977, ,          -2.2,     0.6067977, , 
           -2,     0.6066272, ,            -2,     0.6066272, ,            -2,     0.6066272, ,            -2,     0.6066272, ,            -2,     0.6066272, ,            -2,     0.6066272, ,            -2,     0.6066272, ,            -2,     0.6066272, ,            -2,     0.6066272, , 
         -1.8,     0.6064528, ,          -1.8,     0.6064528, ,          -1.8,     0.6064528, ,          -1.8,     0.6064528, ,          -1.8,     0.6064528, ,          -1.8,     0.6064528, ,          -1.8,     0.6064528, ,          -1.8,     0.6064528, ,          -1.8,     0.6064528, , 
         -1.6,     0.6062746, ,          -1.6,     0.6062746, ,          -1.6,     0.6062746, ,          -1.6,     0.6062746, ,          -1.6,     0.6062746, ,          -1.6,     0.6062746, ,          -1.6,     0.6062746, ,          -1.6,     0.6062746, ,          -1.6,     0.6062746, , 
         -1.4,     0.6060928, ,          -1.4,     0.6060928, ,          -1.4,     0.6060928, ,          -1.4,     0.6060928, ,          -1.4,     0.6060928, ,          -1.4,     0.6060928, ,          -1.4,     0.6060928, ,          -1.4,     0.6060928, ,          -1.4,     0.6060928, , 
         -1.2,     0.6059075, ,          -1.2,     0.6059075, ,          -1.2,     0.6059075, ,          -1.2,     0.6059075, ,          -1.2,     0.6059075, ,          -1.2,     0.6059075, ,          -1.2,     0.6059075, ,          -1.2,     0.6059075, ,          -1.2,     0.6059075, , 
           -1,     0.6057189, ,            -1,     0.6057189, ,            -1,     0.6057189, ,            -1,     0.6057189, ,            -1,     0.6057189, ,            -1,     0.6057189, ,            -1,     0.6057189, ,            -1,     0.6057189, ,            -1,     0.6057189, , 
         -0.8,     0.6055271, ,          -0.8,     0.6055271, ,          -0.8,     0.6055271, ,          -0.8,     0.6055271, ,          -0.8,     0.6055271, ,          -0.8,     0.6055271, ,          -0.8,     0.6055271, ,          -0.8,     0.6055271, ,          -0.8,     0.6055271, , 
         -0.6,     0.6053323, ,          -0.6,     0.6053323, ,          -0.6,     0.6053323, ,          -0.6,     0.6053323, ,          -0.6,     0.6053323, ,          -0.6,     0.6053323, ,          -0.6,     0.6053323, ,          -0.6,     0.6053323, ,          -0.6,     0.6053323, , 
         -0.4,     0.6051345, ,          -0.4,     0.6051345, ,          -0.4,     0.6051345, ,          -0.4,     0.6051345, ,          -0.4,     0.6051345, ,          -0.4,     0.6051345, ,          -0.4,     0.6051345, ,          -0.4,     0.6051345, ,          -0.4,     0.6051345, , 
         -0.2,      0.604934, ,          -0.2,      0.604934, ,          -0.2,      0.604934, ,          -0.2,      0.604934, ,          -0.2,      0.604934, ,          -0.2,      0.604934, ,          -0.2,      0.604934, ,          -0.2,      0.604934, ,          -0.2,      0.604934, , 
            0,     0.6047308, ,             0,     0.6047308, ,             0,     0.6047308, ,             0,     0.6047308, ,             0,     0.6047308, ,             0,     0.6047308, ,             0,     0.6047308, ,             0,     0.6047308, ,             0,     0.6047308, , 
          0.2,      0.604525, ,           0.2,      0.604525, ,           0.2,      0.604525, ,           0.2,      0.604525, ,           0.2,      0.604525, ,           0.2,      0.604525, ,           0.2,      0.604525, ,           0.2,      0.604525, ,           0.2,      0.604525, , 
          0.4,     0.6043168, ,           0.4,     0.6043168, ,           0.4,     0.6043168, ,           0.4,     0.6043168, ,           0.4,     0.6043168, ,           0.4,     0.6043168, ,           0.4,     0.6043168, ,           0.4,     0.6043168, ,           0.4,     0.6043168, , 
          0.6,     0.6041062, ,           0.6,     0.6041062, ,           0.6,     0.6041062, ,           0.6,     0.6041062, ,           0.6,     0.6041062, ,           0.6,     0.6041062, ,           0.6,     0.6041062, ,           0.6,     0.6041062, ,           0.6,     0.6041062, , 
          0.8,     0.6038934, ,           0.8,     0.6038934, ,           0.8,     0.6038934, ,           0.8,     0.6038934, ,           0.8,     0.6038934, ,           0.8,     0.6038934, ,           0.8,     0.6038934, ,           0.8,     0.6038934, ,           0.8,     0.6038934, , 
            1,     0.6036783, ,             1,     0.6036783, ,             1,     0.6036783, ,             1,     0.6036783, ,             1,     0.6036783, ,             1,     0.6036783, ,             1,     0.6036783, ,             1,     0.6036783, ,             1,     0.6036783, , 
          1.2,     0.6034613, ,           1.2,     0.6034613, ,           1.2,     0.6034613, ,           1.2,     0.6034613, ,           1.2,     0.6034613, ,           1.2,     0.6034613, ,           1.2,     0.6034613, ,           1.2,     0.6034613, ,           1.2,     0.6034613, , 
          1.4,     0.6032422, ,           1.4,     0.6032422, ,           1.4,     0.6032422, ,           1.4,     0.6032422, ,           1.4,     0.6032422, ,           1.4,     0.6032422, ,           1.4,     0.6032422, ,           1.4,     0.6032422, ,           1.4,     0.6032422, , 
          1.6,     0.6030212, ,           1.6,     0.6030212, ,           1.6,     0.6030212, ,           1.6,     0.6030212, ,           1.6,     0.6030212, ,           1.6,     0.6030212, ,           1.6,     0.6030212, ,           1.6,     0.6030212, ,           1.6,     0.6030212, , 
          1.8,     0.6027984, ,           1.8,     0.6027984, ,           1.8,     0.6027984, ,           1.8,     0.6027984, ,           1.8,     0.6027984, ,           1.8,     0.6027984, ,           1.8,     0.6027984, ,           1.8,     0.6027984, ,           1.8,     0.6027984, , 
            2,     0.6025739, ,             2,     0.6025739, ,             2,     0.6025739, ,             2,     0.6025739, ,             2,     0.6025739, ,             2,     0.6025739, ,             2,     0.6025739, ,             2,     0.6025739, ,             2,     0.6025739, , 
          2.2,     0.6023476, ,           2.2,     0.6023476, ,           2.2,     0.6023476, ,           2.2,     0.6023476, ,           2.2,     0.6023476, ,           2.2,     0.6023476, ,           2.2,     0.6023476, ,           2.2,     0.6023476, ,           2.2,     0.6023476, , 
          2.4,     0.6021198, ,           2.4,     0.6021198, ,           2.4,     0.6021198, ,           2.4,     0.6021198, ,           2.4,     0.6021198, ,           2.4,     0.6021198, ,           2.4,     0.6021198, ,           2.4,     0.6021198, ,           2.4,     0.6021198, , 
          2.6,     0.6018905, ,           2.6,     0.6018905, ,           2.6,     0.6018905, ,           2.6,     0.6018905, ,           2.6,     0.6018905, ,           2.6,     0.6018905, ,           2.6,     0.6018905, ,           2.6,     0.6018905, ,           2.6,     0.6018905, , 
          2.8,     0.6016597, ,           2.8,     0.6016597, ,           2.8,     0.6016597, ,           2.8,     0.6016597, ,           2.8,     0.6016597, ,           2.8,     0.6016597, ,           2.8,     0.6016597, ,           2.8,     0.6016597, ,           2.8,     0.6016597, , 
            3,     0.6014275, ,             3,     0.6014275, ,             3,     0.6014275, ,             3,     0.6014275, ,             3,     0.6014275, ,             3,     0.6014275, ,             3,     0.6014275, ,             3,     0.6014275, ,             3,     0.6014275, , 
          3.2,      0.601194, ,           3.2,      0.601194, ,           3.2,      0.601194, ,           3.2,      0.601194, ,           3.2,      0.601194, ,           3.2,      0.601194, ,           3.2,      0.601194, ,           3.2,      0.601194, ,           3.2,      0.601194, , 
          3.4,     0.6009593, ,           3.4,     0.6009593, ,           3.4,     0.6009593, ,           3.4,     0.6009593, ,           3.4,     0.6009593, ,           3.4,     0.6009593, ,           3.4,     0.6009593, ,           3.4,     0.6009593, ,           3.4,     0.6009593, , 
          3.6,     0.6007233, ,           3.6,     0.6007233, ,           3.6,     0.6007233, ,           3.6,     0.6007233, ,           3.6,     0.6007233, ,           3.6,     0.6007233, ,           3.6,     0.6007233, ,           3.6,     0.6007233, ,           3.6,     0.6007233, , 
          3.8,     0.6004862, ,           3.8,     0.6004862, ,           3.8,     0.6004862, ,           3.8,     0.6004862, ,           3.8,     0.6004862, ,           3.8,     0.6004862, ,           3.8,     0.6004862, ,           3.8,     0.6004862, ,           3.8,     0.6004862, , 
            4,      0.600248, ,             4,      0.600248, ,             4,      0.600248, ,             4,      0.600248, ,             4,      0.600248, ,             4,      0.600248, ,             4,      0.600248, ,             4,      0.600248, ,             4,      0.600248, , 
          4.2,     0.6000089, ,           4.2,     0.6000089, ,           4.2,     0.6000089, ,           4.2,     0.6000089, ,           4.2,     0.6000089, ,           4.2,     0.6000089, ,           4.2,     0.6000089, ,           4.2,     0.6000089, ,           4.2,     0.6000089, , 
          4.4,     0.5997687, ,           4.4,     0.5997687, ,           4.4,     0.5997687, ,           4.4,     0.5997687, ,           4.4,     0.5997687, ,           4.4,     0.5997687, ,           4.4,     0.5997687, ,           4.4,     0.5997687, ,           4.4,     0.5997687, , 
          4.6,     0.5995277, ,           4.6,     0.5995277, ,           4.6,     0.5995277, ,           4.6,     0.5995277, ,           4.6,     0.5995277, ,           4.6,     0.5995277, ,           4.6,     0.5995277, ,           4.6,     0.5995277, ,           4.6,     0.5995277, , 
          4.8,     0.5992858, ,           4.8,     0.5992858, ,           4.8,     0.5992858, ,           4.8,     0.5992858, ,           4.8,     0.5992858, ,           4.8,     0.5992858, ,           4.8,     0.5992858, ,           4.8,     0.5992858, ,           4.8,     0.5992858, , 
            5,     0.5990431, ,             5,     0.5990431, ,             5,     0.5990431, ,             5,     0.5990431, ,             5,     0.5990431, ,             5,     0.5990431, , , , , , , ,             5,     0.5990431, , 
          5.2,     0.5987996, ,           5.2,     0.5987996, ,           5.2,     0.5987996, ,           5.2,     0.5987996, ,           5.2,     0.5987996, ,           5.2,     0.5987996, , , , , , , ,           5.2,     0.5987996, , 
          5.4,     0.5985555, ,           5.4,     0.5985555, ,           5.4,     0.5985555, ,           5.4,     0.5985555, ,           5.4,     0.5985555, ,           5.4,     0.5985555, , , , , , , ,           5.4,     0.5985555, , 

