Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,      4.832105, ,            -4,      4.908644, ,            -4,      4.624207, , 
         -3.8,       4.86019, ,          -3.8,      4.936308, ,          -3.8,      4.645686, , 
         -3.6,      4.886445, ,          -3.6,      4.968637, ,          -3.6,      4.665512, , 
         -3.4,      4.910918, ,          -3.4,      4.993171, ,          -3.4,      4.683719, , 
         -3.2,      4.933711, ,          -3.2,      5.015725, ,          -3.2,      4.700372, , 
           -3,       4.95469, ,            -3,      5.036619, ,            -3,      4.715484, , 
         -2.8,      4.973863, ,          -2.8,      5.055889, ,          -2.8,        4.7288, , 
         -2.6,      4.991463, ,          -2.6,      5.073495, ,          -2.6,      4.740427, , 
         -2.4,      5.007985, ,          -2.4,      5.093791, ,          -2.4,      4.750764, , 
         -2.2,      5.023136, ,          -2.2,      5.108847, ,          -2.2,      4.759753, , 
           -2,      5.037116, ,            -2,      5.122396, ,            -2,       4.76743, , 
         -1.8,      5.050105, ,          -1.8,       5.13451, ,          -1.8,      4.773827, , 
         -1.6,      5.061807, ,          -1.6,      5.145234, ,          -1.6,      4.778997, , 
         -1.4,      5.071968, ,          -1.4,      5.154398, ,          -1.4,      4.782968, , 
         -1.2,      5.080665, ,          -1.2,      5.162217, ,          -1.2,      4.785786, , 
           -1,      5.087892, ,            -1,      5.168678, ,            -1,      4.787491, , 
         -0.8,      5.093695, ,          -0.8,       5.17386, ,          -0.8,      4.788003, , 
         -0.6,      5.098187, ,          -0.6,      5.177886, ,          -0.6,      4.787525, , 
         -0.4,      5.101318, ,          -0.4,      5.181309, ,          -0.4,      4.786073, , 
         -0.2,      5.102995, ,          -0.2,      5.184042, ,          -0.2,      4.783649, , 
            0,      5.103722, ,             0,      5.185583, ,             0,      4.780292, , 
          0.2,      5.103308, ,           0.2,      5.185613, ,           0.2,      4.776033, , 
          0.4,      5.101516, ,           0.4,      5.184351, ,           0.4,      4.770884, , 
          0.6,      5.098778, ,           0.6,      5.182095, ,           0.6,       4.76491, , 
          0.8,      5.095172, ,           0.8,      5.178937, ,           0.8,      4.758162, , 
            1,      5.090758, ,             1,      5.174929, ,             1,      4.750614, , 
          1.2,      5.085377, ,           1.2,      5.170016, ,           1.2,      4.742292, , 
          1.4,      5.079074, ,           1.4,      5.164024, ,           1.4,      4.733233, , 
          1.6,      5.071742, ,           1.6,      5.157393, ,           1.6,      4.723462, , 
          1.8,      5.063697, ,           1.8,       5.15019, ,           1.8,      4.713001, , 
            2,      5.054945, ,             2,      5.142367, ,             2,      4.701897, , 
          2.2,       5.04553, ,           2.2,      5.133764, ,           2.2,      4.690173, , 
          2.4,      5.035444, ,           2.4,      5.124228, ,           2.4,      4.677837, , 
          2.6,      5.024751, ,           2.6,       5.11422, ,           2.6,        4.6649, , 
          2.8,      5.013472, ,           2.8,      5.103579, ,           2.8,      4.651392, , 
            3,      5.001631, ,             3,      5.092355, ,             3,      4.637368, , 
          3.2,      4.989262, ,           3.2,       5.08059, ,           3.2,      4.622809, , 
          3.4,      4.976323, ,           3.4,      5.068251, ,           3.4,      4.607723, , 
          3.6,      4.962821, ,           3.6,       5.05543, ,           3.6,      4.592144, , 
          3.8,      4.948866, ,           3.8,      5.042263, ,           3.8,        4.5761, , 
            4,      4.934427, ,             4,      5.028654, ,             4,      4.559606, , 
          4.2,      4.919571, ,           4.2,       5.01473, ,           4.2,      4.542697, , 
          4.4,      4.904316, ,           4.4,      5.000424, ,           4.4,      4.525412, , 
          4.6,      4.888653, ,           4.6,      4.985794, ,           4.6,      4.507764, , 
          4.8,      4.872599, ,           4.8,      4.970677, ,           4.8,      4.489761, , 
            5,       4.85616, ,             5,      4.955246, ,             5,      4.471395, , 
          5.2,      4.839375, ,           5.2,      4.939498, ,           5.2,      4.452742, , 
          5.4,      4.822286, ,           5.4,      4.923495, ,           5.4,      4.433755, , 
          5.6,      4.804848, ,           5.6,      4.907316, ,           5.6,      4.414432, , 
          5.8,      4.787075, ,           5.8,      4.890903, ,           5.8,       4.39484, , 
            6,      4.769024, ,             6,      4.874233, ,             6,       4.37499, , 

