Alpha,T1-10.0 m/s-VLM2, , Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.2 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-21.5 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.3 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-29.3 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-5.2 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            0,      1.138909, ,             0,      1.120272, ,             0,      1.097371, ,             0,      1.059335, ,             0,      1.033883, ,             0,      1.493957, ,             0,      1.468237, ,             0,      1.432856, ,             0,      1.025046, ,             0,       1.01939, ,             0,      1.008933, ,             0,      1.006148, ,             0,      1.000417, ,             0,     0.9953859, ,             0,     0.9934391, ,             0,     0.9886929, ,             0,     0.9862307, ,             0,      0.984769, ,             0,      0.983921, ,             0,      1.383622, ,             0,      1.313067, ,             0,      1.291155, ,             0,      1.244764, ,             0,      1.203667, ,             0,      1.186551, , 
          0.2,      1.123193, ,           0.2,      1.105096, ,           0.2,      1.083047, ,           0.2,      1.046589, ,           0.2,      1.022226, ,           0.2,      1.472694, ,           0.2,      1.447402, ,           0.2,      1.412627, ,           0.2,      1.014057, ,           0.2,      1.008818, ,           0.2,     0.9987169, ,           0.2,     0.9958454, ,           0.2,     0.9904836, ,           0.2,     0.9860291, ,           0.2,     0.9840798, ,           0.2,     0.9792397, ,           0.2,     0.9768388, ,           0.2,     0.9754156, ,           0.2,     0.9745882, ,           0.2,      1.364219, ,           0.2,      1.294798, ,           0.2,      1.273249, ,           0.2,      1.227645, ,           0.2,      1.187379, ,           0.2,      1.170595, , 
          0.4,      1.110093, ,           0.4,      1.092328, ,           0.4,      1.070969, ,           0.4,       1.03565, ,           0.4,      1.011778, ,           0.4,      1.453114, ,           0.4,      1.428182, ,           0.4,      1.393994, ,           0.4,      1.003768, ,           0.4,     0.9989881, ,           0.4,     0.9899002, ,           0.4,       0.98735, ,           0.4,     0.9821335, ,           0.4,     0.9777678, ,           0.4,      0.976072, ,           0.4,     0.9714236, ,           0.4,     0.9691365, ,           0.4,     0.9677974, ,           0.4,     0.9670082, ,           0.4,      1.346398, ,           0.4,       1.27811, ,           0.4,      1.256928, ,           0.4,       1.21213, ,           0.4,      1.172777, ,           0.4,      1.156398, , 
          0.6,      1.098682, ,           0.6,      1.081455, ,           0.6,      1.060709, ,           0.6,      1.026386, ,           0.6,      1.003341, ,           0.6,      1.435099, ,           0.6,      1.410519, ,           0.6,      1.376815, ,           0.6,     0.9955981, ,           0.6,     0.9910989, ,           0.6,     0.9827012, ,           0.6,     0.9803275, ,           0.6,     0.9754119, ,           0.6,     0.9710636, ,           0.6,     0.9693405, ,           0.6,     0.9650672, ,           0.6,     0.9628717, ,           0.6,     0.9616256, ,           0.6,     0.9608898, ,           0.6,      1.330012, ,           0.6,      1.262823, ,           0.6,      1.242011, ,           0.6,      1.198011, ,           0.6,      1.159534, ,           0.6,       1.14359, , 
          0.8,      1.088623, ,           0.8,      1.072052, ,           0.8,      1.051855, ,           0.8,      1.018476, ,           0.8,      0.996183, ,           0.8,      1.418462, ,           0.8,      1.394246, ,           0.8,      1.361035, ,           0.8,      0.988711, ,           0.8,     0.9843347, ,           0.8,      0.976313, ,           0.8,     0.9741335, ,           0.8,     0.9695715, ,           0.8,     0.9654339, ,           0.8,      0.963777, ,           0.8,     0.9596143, ,           0.8,     0.9575673, ,           0.8,     0.9563574, ,           0.8,     0.9556486, ,           0.8,      1.314955, ,           0.8,      1.248842, ,           0.8,      1.228363, ,           0.8,      1.185136, ,           0.8,      1.147517, ,           0.8,      1.131994, , 
            1,      1.079737, ,             1,      1.063836, ,             1,      1.044315, ,             1,      1.011924, ,             1,     0.9901794, ,             1,      1.403166, ,             1,      1.379237, ,             1,       1.34652, ,             1,     0.9829539, ,             1,     0.9787279, ,             1,     0.9710581, ,             1,     0.9689949, ,             1,     0.9647111, ,             1,      0.960826, ,             1,     0.9592505, ,             1,     0.9552294, ,             1,     0.9532134, ,             1,     0.9520227, ,             1,     0.9513187, ,             1,      1.301125, ,             1,       1.23602, ,             1,      1.215856, ,             1,      1.173408, ,             1,      1.136619, ,             1,      1.121527, , 
          1.2,      1.072615, ,           1.2,      1.056882, ,           1.2,      1.038247, ,           1.2,      1.006478, ,           1.2,     0.9854116, ,           1.2,      1.389075, ,           1.2,      1.366452, ,           1.2,       1.33455, ,           1.2,     0.9781822, ,           1.2,     0.9741263, ,           1.2,     0.9666229, ,           1.2,      0.964581, ,           1.2,     0.9604286, ,           1.2,     0.9568565, ,           1.2,     0.9554346, ,           1.2,      0.951702, ,           1.2,     0.9498239, ,           1.2,     0.9487011, ,           1.2,     0.9480303, ,           1.2,      1.288641, ,           1.2,      1.224616, ,           1.2,      1.205141, ,           1.2,      1.163126, ,           1.2,      1.127347, ,           1.2,      1.112897, , 
          1.4,      1.065658, ,           1.4,      1.050531, ,           1.4,      1.032579, ,           1.4,      1.001847, ,           1.4,      0.981381, ,           1.4,      1.376136, ,           1.4,      1.353827, ,           1.4,      1.322359, ,           1.4,     0.9743305, ,           1.4,     0.9703177, ,           1.4,     0.9629651, ,           1.4,     0.9609599, ,           1.4,     0.9568739, ,           1.4,      0.953363, ,           1.4,     0.9519685, ,           1.4,     0.9484449, ,           1.4,     0.9467024, ,           1.4,     0.9456601, ,           1.4,     0.9450367, ,           1.4,       1.27713, ,           1.4,      1.214012, ,           1.4,      1.194831, ,           1.4,      1.153439, ,           1.4,      1.118391, ,           1.4,      1.104367, , 
          1.6,      1.059512, ,           1.6,      1.044942, ,           1.6,      1.027639, ,           1.6,     0.9978914, ,           1.6,     0.9780378, ,           1.6,      1.364281, ,           1.6,      1.342255, ,           1.6,       1.31118, ,           1.6,     0.9711792, ,           1.6,      0.967268, ,           1.6,      0.960084, ,           1.6,     0.9581214, ,           1.6,      0.954132, ,           1.6,     0.9506979, ,           1.6,     0.9493287, ,           1.6,     0.9459028, ,           1.6,     0.9442032, ,           1.6,     0.9431971, ,           1.6,     0.9425988, ,           1.6,      1.266532, ,           1.6,      1.204288, ,           1.6,      1.185379, ,           1.6,      1.144622, ,           1.6,      1.110353, ,           1.6,      1.096751, , 
          1.8,      1.054122, ,           1.8,      1.040056, ,           1.8,      1.023362, ,           1.8,     0.9945943, ,           1.8,     0.9752873, ,           1.8,      1.353429, ,           1.8,      1.331626, ,           1.8,      1.300922, ,           1.8,     0.9685881, ,           1.8,     0.9647964, ,           1.8,     0.9578254, ,           1.8,     0.9559141, ,           1.8,     0.9520163, ,           1.8,     0.9486508, ,           1.8,     0.9473117, ,           1.8,     0.9439155, ,           1.8,      0.942236, ,           1.8,     0.9412469, ,           1.8,     0.9406577, ,           1.8,      1.256781, ,           1.8,      1.195386, ,           1.8,      1.176733, ,           1.8,      1.136625, ,           1.8,      1.103143, ,           1.8,      1.089985, , 
            2,      1.049426, ,             2,      1.035814, ,             2,      1.019675, ,             2,     0.9918222, ,             2,     0.9730662, ,             2,      1.343591, ,             2,      1.321908, ,             2,      1.291515, ,             2,     0.9665673, ,             2,     0.9628727, ,             2,     0.9560455, ,             2,      0.954176, ,             2,     0.9503683, ,             2,     0.9470829, ,             2,     0.9457837, ,             2,     0.9425134, ,             2,     0.9408975, ,             2,     0.9399457, ,             2,     0.9393783, ,             2,      1.247821, ,             2,      1.187244, ,             2,       1.16887, ,             2,      1.129408, ,             2,      1.096703, ,             2,      1.083987, , 
          2.2,      1.045349, ,           2.2,      1.032166, ,           2.2,      1.016536, ,           2.2,     0.9895172, ,           2.2,     0.9713059, ,           2.2,      1.334692, ,           2.2,      1.313068, ,           2.2,      1.282902, ,           2.2,     0.9649811, ,           2.2,     0.9613864, ,           2.2,     0.9547451, ,           2.2,     0.9529268, ,           2.2,     0.9492186, ,           2.2,     0.9460042, ,           2.2,     0.9447335, ,           2.2,     0.9415327, ,           2.2,      0.939943, ,           2.2,     0.9390093, ,           2.2,     0.9384511, ,           2.2,      1.239596, ,           2.2,      1.179797, ,           2.2,      1.161706, ,           2.2,      1.122916, ,           2.2,      1.090994, ,           2.2,      1.078699, , 
          2.4,      1.041025, ,           2.4,      1.028806, ,           2.4,      1.013899, ,           2.4,     0.9876244, ,           2.4,     0.9697765, ,           2.4,       1.32664, ,           2.4,      1.305108, ,           2.4,      1.275122, ,           2.4,     0.9637736, ,           2.4,     0.9602911, ,           2.4,     0.9537905, ,           2.4,     0.9520138, ,           2.4,      0.948393, ,           2.4,     0.9452566, ,           2.4,     0.9440183, ,           2.4,     0.9408907, ,           2.4,     0.9393432, ,           2.4,     0.9384344, ,           2.4,     0.9378902, ,           2.4,      1.232119, ,           2.4,      1.172915, ,           2.4,       1.15477, ,           2.4,      1.116786, ,           2.4,      1.085405, ,           2.4,      1.073198, , 
          2.6,      1.038008, ,           2.6,      1.026166, ,           2.6,      1.011702, ,           2.6,     0.9861436, ,           2.6,     0.9687696, ,           2.6,      1.320024, ,           2.6,       1.29851, ,           2.6,      1.268485, ,           2.6,     0.9628928, ,           2.6,     0.9594839, ,           2.6,     0.9531498, ,           2.6,     0.9514235, ,           2.6,     0.9479052, ,           2.6,     0.9448523, ,           2.6,     0.9436468, ,           2.6,     0.9406097, ,           2.6,     0.9391133, ,           2.6,     0.9382336, ,           2.6,     0.9377062, ,           2.6,      1.225452, ,           2.6,      1.166919, ,           2.6,      1.149013, ,           2.6,      1.111615, ,           2.6,      1.081009, ,           2.6,       1.06919, , 
          2.8,      1.035778, ,           2.8,      1.024322, ,           2.8,      1.010039, ,           2.8,      0.985013, ,           2.8,     0.9680995, ,           2.8,      1.314896, ,           2.8,      1.293156, ,           2.8,      1.263276, ,           2.8,     0.9623548, ,           2.8,     0.9590324, ,           2.8,     0.9528446, ,           2.8,     0.9511527, ,           2.8,     0.9477039, ,           2.8,     0.9447158, ,           2.8,     0.9435392, ,           2.8,     0.9405719, ,           2.8,     0.9391089, ,           2.8,     0.9382468, ,           2.8,     0.9377307, ,           2.8,      1.220253, ,           2.8,      1.162745, ,           2.8,      1.145261, ,           2.8,      1.107488, ,           2.8,      1.078035, ,           2.8,      1.066568, , 
            3,      1.033655, ,             3,      1.022516, ,             3,      1.008616, ,             3,     0.9842102, ,             3,     0.9676785, ,             3,      1.309891, ,             3,      1.288068, ,             3,      1.258093, ,             3,     0.9620694, ,             3,     0.9588392, ,             3,     0.9528213, ,             3,     0.9511716, ,             3,     0.9478031, ,             3,     0.9448862, ,             3,     0.9437352, ,             3,     0.9408378, ,             3,     0.9394077, ,             3,     0.9385648, ,             3,     0.9380608, ,             3,      1.214932, ,             3,      1.157951, ,             3,      1.140687, ,             3,      1.103479, ,             3,      1.074747, ,             3,      1.063597, , 
          3.2,      1.032013, ,           3.2,      1.021305, ,           3.2,      1.007538, ,           3.2,     0.9837024, ,           3.2,     0.9675398, ,           3.2,      1.305675, ,           3.2,      1.284536, ,           3.2,      1.254448, ,           3.2,     0.9620572, ,           3.2,     0.9588947, ,           3.2,     0.9529975, ,           3.2,     0.9513864, ,           3.2,     0.9481083, ,           3.2,     0.9452703, ,           3.2,     0.9441515, ,           3.2,     0.9413267, ,           3.2,     0.9399264, ,           3.2,     0.9391034, ,           3.2,     0.9386109, ,           3.2,      1.210527, ,           3.2,      1.155135, ,           3.2,      1.137475, ,           3.2,      1.100877, ,           3.2,      1.072387, ,           3.2,      1.061282, , 
          3.4,      1.030664, ,           3.4,      1.020214, ,           3.4,      1.006773, ,           3.4,     0.9834722, ,           3.4,      0.967662, ,           3.4,      1.302315, ,           3.4,      1.280953, ,           3.4,      1.250599, ,           3.4,     0.9623041, ,           3.4,     0.9592139, ,           3.4,     0.9534446, ,           3.4,     0.9518632, ,           3.4,     0.9486408, ,           3.4,     0.9458498, ,           3.4,     0.9447498, ,           3.4,     0.9419787, ,           3.4,     0.9406027, ,           3.4,     0.9398005, ,           3.4,     0.9393212, ,           3.4,       1.20631, ,           3.4,      1.151422, ,           3.4,      1.133956, ,           3.4,      1.097891, ,           3.4,      1.070046, ,           3.4,      1.059211, , 
          3.6,      1.029646, ,           3.6,       1.01943, ,           3.6,      1.006292, ,           3.6,     0.9834909, ,           3.6,     0.9680272, ,           3.6,      1.299663, ,           3.6,      1.278004, ,           3.6,      1.247327, ,           3.6,     0.9627889, ,           3.6,     0.9597649, ,           3.6,     0.9541183, ,           3.6,     0.9525685, ,           3.6,     0.9494091, ,           3.6,     0.9466726, ,           3.6,     0.9455958, ,           3.6,     0.9428778, ,           3.6,     0.9415305, ,           3.6,     0.9407439, ,           3.6,     0.9402728, ,           3.6,      1.202607, ,           3.6,      1.148194, ,           3.6,      1.130913, ,           3.6,       1.09535, ,           3.6,      1.068108, ,           3.6,      1.057525, , 
          3.8,      1.028975, ,           3.8,      1.019009, ,           3.8,      1.006083, ,           3.8,     0.9837434, ,           3.8,     0.9685728, ,           3.8,      1.297978, ,           3.8,      1.276122, ,           3.8,      1.244944, ,           3.8,     0.9634404, ,           3.8,      0.960482, ,           3.8,     0.9549727, ,           3.8,     0.9534554, , , , ,           3.8,     0.9476779, ,           3.8,     0.9466216, ,           3.8,     0.9439518, ,           3.8,     0.9426334, ,           3.8,     0.9418623, , , , ,           3.8,      1.199618, ,           3.8,      1.145845, ,           3.8,      1.128493, ,           3.8,      1.093583, ,           3.8,      1.066586, ,           3.8,      1.056322, , 
            4,       1.02855, ,             4,      1.018783, ,             4,      1.006124, ,             4,     0.9842067, ,             4,     0.9693381, ,             4,      1.297259, ,             4,      1.274752, ,             4,      1.242976, ,             4,     0.9643046, ,             4,     0.9613991, ,             4,     0.9559727, ,             4,     0.9544652, , , , ,             4,     0.9488056, ,             4,     0.9477756, ,             4,     0.9451727, ,             4,     0.9438885, ,             4,     0.9431325, , , , ,             4,      1.196841, ,             4,      1.143531, ,             4,       1.12635, ,             4,      1.091904, ,             4,      1.065416, ,             4,       1.05535, , 
          4.2,      1.028419, ,           4.2,      1.019003, ,           4.2,       1.00682, ,           4.2,     0.9848676, , , , ,           4.2,      1.298235, ,           4.2,      1.274867, ,           4.2,      1.241817, , , , , , , , , , , , , , , , ,           4.2,      0.952013, ,           4.2,     0.9510247, ,           4.2,     0.9485328, ,           4.2,     0.9473038, , , , , , , ,           4.2,       1.19406, ,           4.2,      1.140738, ,           4.2,       1.12327, ,           4.2,      1.090489, ,           4.2,       1.06458, ,           4.2,      1.054796, , 
          4.4,      1.028508, ,           4.4,      1.019264, ,           4.4,      1.007303, ,           4.4,     0.9857121, , , , ,           4.4,       1.30741, ,           4.4,      1.276337, ,           4.4,      1.242163, , , , , , , , , , , , , , , , ,           4.4,     0.9534431, ,           4.4,     0.9524715, ,           4.4,     0.9500255, ,           4.4,     0.9488164, , , , , , , ,           4.4,      1.192789, ,           4.4,      1.139256, ,           4.4,       1.12192, ,           4.4,      1.089539, ,           4.4,      1.064061, ,           4.4,      1.054436, , 
          4.6,      1.028829, ,           4.6,      1.019741, ,           4.6,      1.007984, ,           4.6,     0.9867335, , , , ,           4.6,      1.316404, ,           4.6,      1.280151, ,           4.6,       1.24407, , , , , , , , , , , , , , , , ,           4.6,      0.955016, ,           4.6,     0.9540603, ,           4.6,      0.951655, ,           4.6,     0.9504645, , , , , , , ,           4.6,      1.191952, ,           4.6,      1.138157, ,           4.6,      1.120943, ,           4.6,       1.08892, ,           4.6,       1.06383, ,           4.6,      1.054347, , 
          4.8,      1.029361, ,           4.8,      1.020417, ,           4.8,      1.008851, ,           4.8,     0.9879176, , , , ,           4.8,      1.330274, ,           4.8,        1.2911, ,           4.8,      1.249523, , , , , , , , , , , , , , , , ,           4.8,     0.9567364, ,           4.8,     0.9557975, ,           4.8,     0.9534308, ,           4.8,     0.9522604, , , , , , , ,           4.8,      1.191312, ,           4.8,      1.135941, ,           4.8,      1.119427, ,           4.8,      1.088614, ,           4.8,      1.063867, ,           4.8,      1.054375, , 
            5,      1.030138, ,             5,      1.021349, ,             5,      1.009896, ,             5,     0.9892563, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,             5,      0.958586, ,             5,     0.9576638, ,             5,     0.9553318, ,             5,     0.9541818, , , , , , , ,             5,      1.191763, ,             5,      1.135911, ,             5,      1.119266, ,             5,      1.088899, ,             5,      1.064164, ,             5,      1.054882, , 
          5.2,      1.031062, ,           5.2,      1.022392, ,           5.2,      1.011102, ,           5.2,     0.9907336, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,           5.2,     0.9604838, ,           5.2,      0.959575, ,           5.2,     0.9572765, ,           5.2,      0.956145, , , , , , , ,           5.2,      1.192539, ,           5.2,      1.135844, ,           5.2,      1.119288, ,           5.2,      1.089172, ,           5.2,      1.064693, ,           5.2,      1.055508, , 
          5.4,      1.032172, ,           5.4,      1.023616, ,           5.4,       1.01246, ,           5.4,     0.9923393, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,           5.4,     0.9625308, ,           5.4,     0.9616356, ,           5.4,     0.9593753, ,           5.4,     0.9582621, , , , , , , ,           5.4,        1.1939, ,           5.4,      1.135795, ,           5.4,      1.119549, ,           5.4,      1.089782, ,           5.4,      1.065471, ,           5.4,      1.056265, , 
          5.6,       1.03346, ,           5.6,       1.02499, ,           5.6,      1.013971, ,           5.6,     0.9940659, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,           5.6,     0.9646714, ,           5.6,     0.9637858, ,           5.6,     0.9615537, ,           5.6,     0.9604516, , , , , , , ,           5.6,      1.196332, ,           5.6,      1.136789, ,           5.6,      1.120448, ,           5.6,      1.090633, ,           5.6,      1.066497, ,           5.6,      1.057327, , 
          5.8,       1.03491, ,           5.8,       1.02652, ,           5.8,      1.015619, ,           5.8,     0.9959042, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,           5.8,     0.9668992, ,           5.8,     0.9660247, ,           5.8,     0.9638233, ,           5.8,      0.962734, , , , , , , ,           5.8,      1.200039, ,           5.8,      1.138278, ,           5.8,      1.121748, ,           5.8,      1.091712, ,           5.8,      1.067743, ,           5.8,      1.058616, , 
            6,      1.036496, ,             6,      1.028189, ,             6,      1.017389, ,             6,     0.9978474, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,             6,     0.9692082, ,             6,     0.9683452, ,             6,     0.9661706, ,             6,     0.9650943, , , , , , , ,             6,      1.205885, ,             6,      1.139739, ,             6,      1.123221, ,             6,      1.093044, ,             6,      1.069162, ,             6,       1.05998, , 
          6.2,      1.038218, ,           6.2,       1.02999, ,           6.2,      1.019283, ,           6.2,     0.9998933, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,           6.2,     0.9715946, ,           6.2,     0.9707431, ,           6.2,     0.9685923, ,           6.2,     0.9675298, , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,           6.4,     0.9754541, ,           6.4,     0.9744634, ,           6.4,     0.9719235, ,           6.4,     0.9706377, , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,           6.6,     0.9779638, ,           6.6,     0.9769829, ,           6.6,     0.9744681, ,           6.6,     0.9731964, , , , , , , , , , , , , , , , , , , , , , , , , , 
