Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-2.5 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            0,     0.8665442, ,             0,     0.8472531, ,             0,     0.8146718, ,             0,      0.792639, ,             0,      1.176113, ,             0,       1.14401, ,             0,      0.785262, ,             0,     0.7731048, ,             0,     0.7710273, ,             0,     0.7668015, ,             0,     0.7616637, ,             0,     0.7580206, ,             0,     0.7562213, ,             0,     0.7551558, ,             0,      1.099437, ,             0,      1.035372, ,             0,     0.9737243, ,             0,     0.9376352, ,             0,     0.9228183, , 
          0.2,      0.857327, ,           0.2,      0.838924, ,           0.2,     0.8078092, ,           0.2,     0.7866398, ,           0.2,      1.159408, ,           0.2,      1.127814, ,           0.2,      0.779512, ,           0.2,     0.7677454, ,           0.2,     0.7657291, ,           0.2,     0.7616234, ,           0.2,     0.7565897, ,           0.2,     0.7530076, ,           0.2,     0.7512561, ,           0.2,     0.7502186, ,           0.2,      1.083965, ,           0.2,      1.021019, ,           0.2,     0.9605422, ,           0.2,     0.9253319, ,           0.2,     0.9110164, , 
          0.4,     0.8492861, ,           0.4,     0.8318159, ,           0.4,     0.8017825, ,           0.4,     0.7815961, ,           0.4,      1.145021, ,           0.4,      1.114188, ,           0.4,     0.7746084, ,           0.4,     0.7633923, ,           0.4,     0.7613979, ,           0.4,      0.757327, ,           0.4,     0.7524321, ,           0.4,     0.7489507, ,           0.4,     0.7472371, ,           0.4,     0.7462212, ,           0.4,      1.069777, ,           0.4,      1.007944, ,           0.4,     0.9486501, ,           0.4,     0.9142699, ,           0.4,     0.9004614, , 
          0.6,     0.8419846, ,           0.6,     0.8252624, ,           0.6,     0.7964536, ,           0.6,     0.7770513, ,           0.6,      1.130978, ,           0.6,      1.100345, ,           0.6,     0.7703127, ,           0.6,     0.7594346, ,           0.6,     0.7575057, ,           0.6,     0.7535834, ,           0.6,     0.7488626, ,           0.6,     0.7454927, ,           0.6,     0.7438262, ,           0.6,     0.7428493, ,           0.6,       1.05678, ,           0.6,     0.9959699, ,           0.6,     0.9377194, ,           0.6,     0.9042138, ,           0.6,     0.8909035, , 
          0.8,     0.8354962, ,           0.8,     0.8194658, ,           0.8,     0.7917861, ,           0.8,     0.7731047, ,           0.8,      1.118113, ,           0.8,      1.087879, ,           0.8,     0.7666112, ,           0.8,     0.7560996, ,           0.8,     0.7542135, ,           0.8,     0.7503956, ,           0.8,     0.7457946, ,           0.8,     0.7425234, ,           0.8,     0.7409098, ,           0.8,     0.7399621, ,           0.8,      1.044879, ,           0.8,     0.9850341, ,           0.8,     0.9278122, ,           0.8,     0.8951868, ,           0.8,     0.8823841, , 
            1,     0.8297643, ,             1,     0.8143427, ,             1,     0.7876925, ,             1,     0.7696274, ,             1,      1.106371, ,             1,      1.076431, ,             1,     0.7633551, ,             1,     0.7531981, ,             1,     0.7513732, ,             1,     0.7476902, ,             1,      0.743231, ,             1,     0.7400596, ,             1,     0.7384936, ,             1,     0.7375771, ,             1,      1.034009, ,             1,     0.9750435, ,             1,     0.9188537, ,             1,     0.8870984, ,             1,     0.8747839, , 
          1.2,     0.8247071, ,           1.2,     0.8098443, ,           1.2,     0.7841155, ,           1.2,     0.7666509, ,           1.2,      1.095682, ,           1.2,      1.065991, ,           1.2,     0.7605778, ,           1.2,     0.7507044, ,           1.2,     0.7489327, ,           1.2,     0.7453536, ,           1.2,     0.7410424, ,           1.2,     0.7379736, ,           1.2,     0.7364597, ,           1.2,     0.7355721, ,           1.2,      1.024098, ,           1.2,     0.9659484, ,           1.2,     0.9107395, ,           1.2,     0.8799002, ,           1.2,     0.8680439, , 
          1.4,     0.8202703, ,           1.4,       0.80591, ,           1.4,     0.7810157, ,           1.4,     0.7641051, ,           1.4,      1.085945, ,           1.4,      1.056522, ,           1.4,     0.7582125, ,           1.4,     0.7486373, ,           1.4,     0.7469189, ,           1.4,     0.7434401, ,           1.4,      0.739239, ,           1.4,     0.7362429, ,           1.4,     0.7347654, ,           1.4,     0.7338991, ,           1.4,      1.015063, ,           1.4,     0.9576899, ,           1.4,     0.9034565, ,           1.4,     0.8735043, ,           1.4,     0.8620853, , 
          1.6,     0.8167288, ,           1.6,      0.802603, ,           1.6,     0.7783493, ,           1.6,     0.7619391, ,           1.6,      1.077799, ,           1.6,      1.048327, ,           1.6,     0.7562221, ,           1.6,       0.74693, ,           1.6,     0.7452625, ,           1.6,     0.7418796, ,           1.6,     0.7377994, ,           1.6,     0.7348893, ,           1.6,      0.733453, ,           1.6,     0.7326114, ,           1.6,      1.006931, ,           1.6,     0.9503421, ,           1.6,     0.8972038, ,           1.6,     0.8683605, ,           1.6,     0.8571532, , 
          1.8,     0.8133348, ,           1.8,     0.7996355, ,           1.8,     0.7760802, ,           1.8,     0.7601028, ,           1.8,       1.07049, ,           1.8,      1.040916, ,           1.8,     0.7545389, ,           1.8,     0.7455156, ,           1.8,     0.7439015, ,           1.8,     0.7406224, ,           1.8,     0.7366618, ,           1.8,     0.7338298, ,           1.8,     0.7324299, ,           1.8,     0.7316111, ,           1.8,     0.9994833, ,           1.8,     0.9435851, ,           1.8,     0.8913617, ,           1.8,     0.8633752, ,           1.8,     0.8525254, , 
