Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
            1,     0.8024787, ,             1,     0.7583432, ,             1,     0.8940563, , 
          1.2,     0.7976287, ,           1.2,     0.7542826, ,           1.2,     0.8889535, , 
          1.4,     0.7931999, ,           1.4,     0.7507262, ,           1.4,      0.884427, , 
          1.6,     0.7891439, ,           1.6,      0.747597, ,           1.6,     0.8804211, , 
          1.8,     0.7855021, ,           1.8,     0.7448122, ,           1.8,     0.8768162, , 
            2,     0.7821888, ,             2,     0.7423815, ,             2,     0.8737272, , 
          2.2,      0.779156, ,           2.2,     0.7402855, ,           2.2,     0.8710965, , 
          2.4,     0.7764164, ,           2.4,     0.7385881, ,           2.4,     0.8689131, , 
          2.6,     0.7740167, ,           2.6,     0.7372682, ,           2.6,     0.8672186, , 
          2.8,     0.7720265, ,           2.8,     0.7363939, ,           2.8,     0.8661082, , 
            3,     0.7703414, ,             3,     0.7358015, ,             3,     0.8655118, , 
          3.2,     0.7691188, ,           3.2,     0.7354983, ,           3.2,     0.8655876, , 
          3.4,     0.7688563, ,           3.4,     0.7355217, ,           3.4,     0.8664028, , 
          3.6,     0.7683213, ,           3.6,     0.7357558, ,           3.6,     0.8682081, , 
          3.8,     0.7679643, ,           3.8,     0.7361653, ,           3.8,     0.8716069, , 
            4,     0.7679957, ,             4,     0.7368244, ,             4,     0.8790556, , 
          4.2,     0.7681784, ,           4.2,     0.7376046, ,           4.2,     0.9171886, , 
          4.4,     0.7686107, ,           4.4,     0.7385187, ,           4.4,     0.9813667, , 
          4.6,     0.7698193, ,           4.6,     0.7396675, , , , , 
          4.8,     0.7715537, ,           4.8,     0.7409868, , , , , 
            5,      0.773376, ,             5,      0.742402, , , , , 
          5.2,     0.7753227, ,           5.2,     0.7439269, , , , , 
          5.4,     0.7774374, ,           5.4,     0.7455792, , , , , 
          5.6,     0.7795732, ,           5.6,      0.747266, , , , , 
, , ,           5.8,     0.7493716, , , , , 
, , ,             6,     0.7516557, , , , , 
, , ,           6.2,     0.7539452, , , , , 
, , ,           6.4,      0.756263, , , , , 
, , ,           6.6,     0.7586722, , , , , 
, , ,           6.8,     0.7611432, , , , , 

