Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.8876209, ,            -1,     0.8584244, ,            -1,     0.8508711, ,            -1,      1.147161, ,            -1,      0.987562, , 
         -0.8,     0.8778778, ,          -0.8,     0.8473816, ,          -0.8,      0.839228, ,          -0.8,      1.140941, ,          -0.8,     0.9797572, , 
         -0.6,     0.8689124, ,          -0.6,     0.8370602, ,          -0.6,     0.8284925, ,          -0.6,       1.13556, ,          -0.6,     0.9727861, , 
         -0.4,     0.8607493, ,          -0.4,     0.8276149, ,          -0.4,      0.818645, ,          -0.4,      1.131067, ,          -0.4,     0.9666545, , 
         -0.2,     0.8533365, ,          -0.2,     0.8192471, ,          -0.2,     0.8103781, ,          -0.2,      1.127355, ,          -0.2,     0.9612978, , 
            0,      0.846665, ,             0,     0.8117516, ,             0,     0.8026633, ,             0,       1.12448, ,             0,     0.9567534, , 
          0.2,     0.8406969, ,           0.2,     0.8053339, ,           0.2,     0.7963135, ,           0.2,      1.122421, ,           0.2,     0.9530014, , 
          0.4,       0.83537, ,           0.4,     0.7996539, ,           0.4,     0.7908172, ,           0.4,      1.121156, ,           0.4,     0.9500579, , 
          0.6,      0.830661, ,           0.6,     0.7946233, ,           0.6,     0.7857718, ,           0.6,      1.120753, ,           0.6,     0.9479643, , 
          0.8,     0.8265058, ,           0.8,     0.7902902, ,           0.8,     0.7814205, ,           0.8,      1.121193, ,           0.8,     0.9467514, , 
            1,     0.8228579, ,             1,     0.7864833, ,             1,     0.7779029, ,             1,       1.12256, ,             1,     0.9464818, , 
          1.2,     0.8196719, ,           1.2,     0.7831941, ,           1.2,     0.7744743, ,           1.2,      1.124925, ,           1.2,     0.9472823, , 
          1.4,     0.8169034, ,           1.4,     0.7803127, ,           1.4,     0.7716409, ,           1.4,      1.128443, ,           1.4,     0.9492756, , 
          1.6,     0.8145232, ,           1.6,     0.7777789, ,           1.6,     0.7691431, ,           1.6,      1.133099, ,           1.6,     0.9524183, , 
          1.8,     0.8125033, ,           1.8,     0.7755252, ,           1.8,     0.7669107, ,           1.8,      1.138963, ,           1.8,     0.9567823, , 
            2,     0.8108422, ,             2,     0.7735037, ,             2,     0.7649071, ,             2,      1.146158, ,             2,     0.9623899, , 
          2.2,     0.8095223, ,           2.2,     0.7717018, ,           2.2,     0.7631088, ,           2.2,      1.154685, ,           2.2,      0.969223, , 
          2.4,     0.8085369, ,           2.4,      0.770113, ,           2.4,     0.7615174, ,           2.4,      1.164703, ,           2.4,     0.9773682, , 
          2.6,      0.807907, ,           2.6,     0.7687237, ,           2.6,      0.760134, ,           2.6,      1.176149, ,           2.6,     0.9865457, , 
          2.8,      0.807625, ,           2.8,     0.7675438, ,           2.8,     0.7589631, ,           2.8,      1.190808, ,           2.8,     0.9993218, , 
            3,     0.8077557, ,             3,     0.7665808, ,             3,     0.7580209, ,             3,      1.217625, ,             3,      1.029335, , 
          3.2,     0.8083738, ,           3.2,     0.7658495, ,           3.2,     0.7573008, ,           3.2,      1.237737, ,           3.2,      1.047812, , 
          3.4,     0.8095535, ,           3.4,     0.7653544, ,           3.4,     0.7568207, ,           3.4,      1.253466, ,           3.4,       1.05798, , 
          3.6,     0.8114874, ,           3.6,     0.7651059, ,           3.6,     0.7565896, ,           3.6,      1.269869, ,           3.6,      1.067123, , 
          3.8,     0.8146061, ,           3.8,     0.7651236, ,           3.8,     0.7565968, ,           3.8,      1.287804, ,           3.8,      1.076268, , 
            4,     0.8201369, ,             4,     0.7654423, ,             4,     0.7568801, ,             4,      1.307777, ,             4,      1.090214, , 
          4.2,     0.8332533, ,           4.2,      0.766069, ,           4.2,     0.7574377, ,           4.2,       1.33018, ,           4.2,      1.104879, , 
          4.4,     0.8822764, ,           4.4,      0.767043, ,           4.4,       0.75829, ,           4.4,      1.355622, ,           4.4,      1.116771, , 

