Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
            1,      2.319753, ,             1,       2.28901, ,             1,      2.272755, ,             1,      2.264876, ,             1,      2.259528, ,             1,      2.256229, ,             1,      2.663724, ,             1,      2.523979, ,             1,      2.368175, , 
          1.2,      2.306197, ,           1.2,      2.275108, ,           1.2,      2.258732, ,           1.2,      2.250869, ,           1.2,      2.245555, ,           1.2,      2.242281, ,           1.2,      2.650493, ,           1.2,      2.511134, ,           1.2,      2.355142, , 
          1.4,      2.293426, ,           1.4,      2.261997, ,           1.4,      2.245479, ,           1.4,      2.237638, ,           1.4,      2.232316, ,           1.4,      2.229007, ,           1.4,      2.638188, ,           1.4,      2.499141, ,           1.4,      2.342886, , 
          1.6,      2.281417, ,           1.6,      2.249646, ,           1.6,      2.232992, ,           1.6,      2.225132, ,           1.6,      2.219806, ,           1.6,      2.216615, ,           1.6,      2.626758, ,           1.6,      2.487958, ,           1.6,      2.331386, , 
          1.8,      2.270128, ,           1.8,      2.238016, ,           1.8,      2.221223, ,           1.8,      2.213356, ,           1.8,      2.207972, ,           1.8,      2.204852, ,           1.8,      2.616209, ,           1.8,      2.477575, ,           1.8,      2.320603, , 
            2,      2.259516, ,             2,      2.227074, ,             2,      2.210143, ,             2,      2.202276, ,             2,      2.196822, ,             2,      2.193719, ,             2,       2.60646, ,             2,      2.467932, ,             2,      2.310503, , 
          2.2,      2.249553, ,           2.2,      2.216776, ,           2.2,      2.199704, ,           2.2,      2.191837, ,           2.2,      2.186332, ,           2.2,      2.183197, ,           2.2,      2.597492, ,           2.2,      2.459007, ,           2.2,      2.301056, , 
          2.4,      2.240217, ,           2.4,      2.207102, ,           2.4,      2.189893, ,           2.4,       2.18202, ,           2.4,      2.176366, ,           2.4,      2.173608, ,           2.4,      2.589259, ,           2.4,      2.450762, ,           2.4,      2.292242, , 
          2.6,      2.231476, ,           2.6,      2.198024, ,           2.6,      2.180675, ,           2.6,      2.172769, ,           2.6,      2.167079, ,           2.6,      2.164403, ,           2.6,      2.581746, ,           2.6,      2.443176, ,           2.6,      2.284028, , 
          2.8,      2.223304, ,           2.8,      2.189512, ,           2.8,      2.172023, ,           2.8,      2.164067, ,           2.8,      2.158355, ,           2.8,      2.155742, ,           2.8,       2.57494, ,           2.8,      2.436234, ,           2.8,      2.276389, , 
            3,      2.215686, ,             3,      2.181546, ,             3,      2.163913, ,             3,      2.155891, ,             3,      2.150181, ,             3,       2.14767, ,             3,      2.568801, ,             3,      2.429908, ,             3,       2.26931, , 
          3.2,      2.208589, ,           3.2,      2.174097, ,           3.2,      2.156313, ,           3.2,      2.148237, ,           3.2,      2.142546, ,           3.2,      2.140134, ,           3.2,      2.563285, ,           3.2,      2.424159, ,           3.2,      2.262763, , 
          3.4,      2.201986, ,           3.4,      2.167141, ,           3.4,      2.149207, ,           3.4,      2.141074, ,           3.4,       2.13541, ,           3.4,      2.133021, ,           3.4,      2.558373, ,           3.4,      2.418968, ,           3.4,      2.256729, , 
