Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            1,      1.867462, ,             1,      1.833423, ,             1,      2.402205, ,             1,      1.816322, ,             1,      1.809841, ,             1,      1.803776, ,             1,      1.801912, ,             1,      1.800988, ,             1,      2.216867, ,             1,      2.079017, ,             1,      1.909529, , 
          1.2,      1.857303, ,           1.2,      1.822891, ,           1.2,      2.392563, ,           1.2,      1.805628, ,           1.2,      1.799083, ,           1.2,      1.792936, ,           1.2,      1.791046, ,           1.2,      1.790112, ,           1.2,       2.20814, ,           1.2,      2.070167, ,           1.2,      1.899809, , 
          1.4,      1.847806, ,           1.4,      1.813015, ,           1.4,      2.383847, ,           1.4,       1.79558, ,           1.4,      1.788976, ,           1.4,      1.782761, ,           1.4,      1.780844, ,           1.4,      1.779896, ,           1.4,      2.200222, ,           1.4,      2.062069, ,           1.4,      1.890777, , 
          1.6,      1.838937, ,           1.6,       1.80376, ,           1.6,      2.376027, ,           1.6,       1.78615, ,           1.6,       1.77949, ,           1.6,      1.773209, ,           1.6,      1.771268, ,           1.6,       1.77031, ,           1.6,      2.193076, ,           1.6,      2.054676, ,           1.6,      1.882385, , 
          1.8,      1.830668, ,           1.8,      1.795099, ,           1.8,      2.369056, ,           1.8,      1.777312, ,           1.8,      1.770595, ,           1.8,      1.764249, ,           1.8,      1.762287, ,           1.8,       1.76132, ,           1.8,      2.186663, ,           1.8,      2.047963, ,           1.8,      1.874608, , 
            2,      1.822986, ,             2,      1.786998, ,             2,      2.362901, ,             2,      1.769029, ,             2,      1.762252, ,             2,      1.755849, ,             2,      1.753868, ,             2,      1.752892, ,             2,       2.18097, ,             2,      2.041921, ,             2,       1.86743, , 
          2.2,      1.815862, ,           2.2,      1.779431, ,           2.2,      2.357548, ,           2.2,      1.761263, ,           2.2,      1.754429, ,           2.2,      1.747967, ,           2.2,      1.745967, ,           2.2,      1.744984, ,           2.2,      2.175972, ,           2.2,      2.036513, ,           2.2,      1.860836, , 
          2.4,      1.809273, ,           2.4,      1.772389, ,           2.4,      2.352915, ,           2.4,      1.753993, ,           2.4,      1.747093, ,           2.4,      1.740566, ,           2.4,      1.738549, ,           2.4,      1.737542, ,           2.4,      2.171599, ,           2.4,      2.031692, ,           2.4,      1.854801, , 
          2.6,      1.803192, ,           2.6,      1.765855, ,           2.6,      2.348971, ,           2.6,      1.747213, ,           2.6,      1.740228, ,           2.6,       1.73362, ,           2.6,      1.731577, ,           2.6,      1.730418, ,           2.6,       2.16782, ,           2.6,      2.027436, ,           2.6,      1.849307, , 
          2.8,      1.797591, ,           2.8,      1.759789, ,           2.8,      2.345345, ,           2.8,      1.740914, ,           2.8,      1.733836, ,           2.8,      1.727132, ,           2.8,      1.724942, ,           2.8,      1.723511, ,           2.8,       2.16433, ,           2.8,      2.023545, ,           2.8,      1.844324, , 
