Alpha,T1-15.8 m/s-VLM2, , 
            0,      1.618011, , 
          0.2,      1.611369, , 
          0.4,       1.60525, , 
          0.6,      1.599639, , 
          0.8,      1.594494, , 
            1,      1.589842, , 
          1.2,      1.585631, , 
          1.4,      1.581865, , 
          1.6,      1.578548, , 
          1.8,      1.575643, , 
            2,      1.573154, , 
          2.2,      1.571085, , 
          2.4,      1.569447, , 
          2.6,        1.5682, , 
          2.8,      1.567385, , 
            3,      1.567011, , 
          3.2,       1.56704, , 
          3.4,      1.567528, , 
          3.6,      1.568459, , 
          3.8,       1.56976, , 
            4,       1.57159, , 
          4.2,      1.573845, , 
          4.4,      1.576569, , 
          4.6,      1.579745, , 

