Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -1,      2.281211, ,            -1,      2.067745, ,            -1,      3.535699, ,            -1,      1.941862, ,            -1,      1.887526, ,            -1,      1.877839, ,            -1,      1.834269, ,            -1,      1.817201, ,            -1,      1.808705, ,            -1,      3.267464, ,            -1,      2.975691, ,            -1,       2.54657, ,            -1,      2.494795, , 
         -0.8,       2.11089, ,          -0.8,      1.917225, ,          -0.8,      3.249074, ,          -0.8,      1.803064, ,          -0.8,      1.753837, ,          -0.8,       1.74506, ,          -0.8,      1.705555, ,          -0.8,      1.690077, ,          -0.8,      1.682372, ,          -0.8,      3.005661, ,          -0.8,      2.740919, ,          -0.8,      2.351516, ,          -0.8,      2.304545, , 
         -0.6,      1.967453, ,          -0.6,      1.790614, ,          -0.6,      3.007083, ,          -0.6,       1.68638, ,          -0.6,      1.641469, ,          -0.6,      1.633462, ,          -0.6,      1.597404, ,          -0.6,      1.583273, ,          -0.6,      1.576238, ,          -0.6,      2.784662, ,          -0.6,       2.54283, ,          -0.6,      2.187087, ,          -0.6,      2.144191, , 
         -0.4,      1.845549, ,          -0.4,      1.683137, ,          -0.4,       2.80085, ,          -0.4,      1.587402, ,          -0.4,      1.546179, ,          -0.4,      1.538834, ,          -0.4,      1.505732, ,          -0.4,      1.492757, ,          -0.4,      1.486296, ,          -0.4,      2.596399, ,          -0.4,      2.374157, ,          -0.4,      2.047211, ,          -0.4,      2.007804, , 
         -0.2,      1.741193, ,          -0.2,      1.591268, ,          -0.2,      2.623679, ,          -0.2,      1.502852, ,          -0.2,      1.464812, ,          -0.2,      1.458036, ,          -0.2,      1.427483, ,          -0.2,      1.415502, ,          -0.2,      1.409537, ,          -0.2,      2.434742, ,          -0.2,      2.229413, ,          -0.2,       1.92733, ,          -0.2,      1.890936, , 
            0,      1.651263, ,             0,      1.512215, ,             0,      2.470434, ,             0,      1.430162, ,             0,      1.394876, ,             0,      1.388596, ,             0,      1.360264, ,             0,      1.349151, ,             0,      1.343616, ,             0,      2.295003, ,             0,      2.104382, ,             0,      1.823907, ,             0,      1.790134, , 
          0.2,      1.573306, ,           0.2,       1.44379, ,           0.2,      2.337134, ,           0.2,      1.367305, ,           0.2,      1.334435, ,           0.2,      1.328584, ,           0.2,      1.302188, ,           0.2,      1.291833, ,           0.2,      1.286677, ,           0.2,      2.173519, ,           0.2,      1.995738, ,           0.2,      1.734127, ,           0.2,      1.702648, , 
          0.4,       1.50539, ,           0.4,      1.384279, ,           0.4,      2.220843, ,           0.4,      1.312689, ,           0.4,       1.28194, ,           0.4,      1.276468, ,           0.4,      1.251777, ,           0.4,      1.242094, ,           0.4,      1.237271, ,           0.4,      2.067589, ,           0.4,      1.901011, ,           0.4,      1.655811, ,           0.4,      1.626349, , 
          0.6,      1.445978, ,           0.6,      1.332286, ,           0.6,       2.11871, ,           0.6,      1.265024, ,           0.6,      1.236155, ,           0.6,      1.231018, ,           0.6,      1.207828, ,           0.6,      1.198735, ,           0.6,      1.194208, ,           0.6,      1.974623, ,           0.6,      1.817926, ,           0.6,      1.587196, ,           0.6,      1.559517, , 
          0.8,      1.393876, ,           0.8,      1.286735, ,           0.8,      2.028674, ,           0.8,      1.223317, ,           0.8,      1.196111, ,           0.8,      1.191271, ,           0.8,      1.169418, ,           0.8,       1.16085, ,           0.8,      1.156584, ,           0.8,      1.892713, ,           0.8,      1.744786, ,           0.8,      1.526926, ,           0.8,      1.500827, , 
